scenario,run,species,latin,group,species_order,indicator,value
Base,63,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.684251623333333
Base,64,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.711941722
Base,65,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.700795440666667
Base,66,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.704490290666667
Base,67,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.690107353333333
Base,68,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.722938388333333
Base,69,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.733859339
Base,70,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.704247677333333
Base,71,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.726712232666667
Base,72,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.701011202333333
Base,73,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.712720520333333
Base,74,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.715171066666667
Base,75,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.692341022
Base,76,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.692319424666667
Base,77,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.693105176
Base,78,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.703402711
Base,79,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.719225849333333
Base,80,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.72530901
Base,81,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.704383874333333
Base,82,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.707987289
Base,83,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.691991008333333
Base,84,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.713507283666667
Base,85,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.700525108666667
Base,86,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.719131621666667
Base,87,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.723000965
Base,88,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.7237135
Base,89,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.699821639666667
Base,90,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.687890099666667
Base,91,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.736301132333333
Base,92,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.684412934333333
Base,93,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.715429028333333
Base,94,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.723038672666667
Base,95,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.713095506333333
Base,96,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.706889638666667
Base,97,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.707736103666667
Base,98,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.724350289333333
Base,99,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.713529959333333
Base,100,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.721540968
Base,1,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658587692333333
Base,2,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.66251538
Base,3,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660252449666667
Base,4,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659536871333333
Base,5,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657238188666667
Base,6,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658776422
Base,7,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658970814666667
Base,8,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659835736666667
Base,9,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659570879333333
Base,10,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.661262897333333
Base,11,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658418860666667
Base,12,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660712977333333
Base,13,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.661044362666667
Base,14,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658771106
Base,15,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660467761666667
Base,16,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.655364922
Base,17,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659716028333333
Base,18,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660731627666667
Base,19,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658502641666667
Base,20,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.662588811
Base,21,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656089152
Base,22,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656881911
Base,23,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658159837666667
Base,24,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656741738333333
Base,25,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658659941333333
Base,26,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656854851
Base,27,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658303888333333
Base,28,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656850068
Base,29,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658046083333333
Base,30,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656636205
Base,31,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.6585947
Base,32,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657264673333333
Base,33,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.65884637
Base,34,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658623875666667
Base,35,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657693097
Base,36,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659079162333333
Base,37,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.655723163333333
Base,38,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659511211333333
Base,39,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658402286
Base,40,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659756098333333
Base,41,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658512480333333
Base,42,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.661118814333333
Base,43,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656399315333333
Base,44,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658900079333333
Base,45,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657804968666667
Base,46,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660374238666667
Base,47,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.66002612
Base,48,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.654896673666667
Base,49,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656863392666667
Base,50,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658982754
Base,51,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.655656207333333
Base,52,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658839057666667
Base,53,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659320185666667
Base,54,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.661096932666667
Base,55,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656318951333333
Base,56,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656752841333333
Base,57,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658327163
Base,58,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660502900666667
Base,59,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657368092666667
Base,60,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657820814666667
Base,61,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658427891
Base,62,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660714742666667
Base,63,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.662223672333333
Base,64,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658552576
Base,65,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657094025
Base,66,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659307709
Base,67,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.655447029666667
Base,68,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657225108666667
Base,69,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660471632333333
Base,70,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658046722666667
Base,71,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659140212333333
Base,72,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.661205675
Base,73,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.661559819
Base,74,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656957617666667
Base,75,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656555849333333
Base,76,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656996053666667
Base,77,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.662154808666667
Base,78,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657225148
Base,79,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.655793012666667
Base,80,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659649115666667
Base,81,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.656636224666667
Base,82,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.657004198666667
Base,83,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660453714
Base,84,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.661728616666667
Base,85,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.663919302333333
Base,86,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.654379077
Base,87,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658132714666667
Base,88,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.655913012333333
Base,89,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.6584801
Base,90,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660364575333333
Base,91,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.653923479666667
Base,92,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.661658189333333
Base,93,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658310524666667
Base,94,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.664053607666667
Base,95,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.659059485333333
Base,96,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658171422333333
Base,97,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.660267413
Base,98,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.663798201333333
Base,99,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.65975413
Base,100,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,age_mature,0.658771437333333
Base,1,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.17776348333333
Base,2,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.27523592466667
Base,3,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.24657984666667
Base,4,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.22325401833333
Base,5,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.372979938
