scenario,run,group,value,indicator
Base,48,Predator,0.75803841141346,age_mature
Base,49,Predator,0.765137167429996,age_mature
Base,50,Predator,0.753891641616892,age_mature
Base,51,Predator,0.75534381400665,age_mature
Base,52,Predator,0.775440394252729,age_mature
Base,53,Predator,0.756955992094034,age_mature
Base,54,Predator,0.747555694242169,age_mature
Base,55,Predator,0.752426777700117,age_mature
Base,56,Predator,0.753410444746741,age_mature
Base,57,Predator,0.75493600137411,age_mature
Base,58,Predator,0.758723080337047,age_mature
Base,59,Predator,0.764118948026986,age_mature
Base,60,Predator,0.751242645222626,age_mature
Base,61,Predator,0.760812090506943,age_mature
Base,62,Predator,0.751809203402758,age_mature
Base,63,Predator,0.76167833497607,age_mature
Base,64,Predator,0.76682484356892,age_mature
Base,65,Predator,0.749422285091209,age_mature
Base,66,Predator,0.767322068426401,age_mature
Base,67,Predator,0.757911228550474,age_mature
Base,68,Predator,0.749243094821096,age_mature
Base,69,Predator,0.760531966914242,age_mature
Base,70,Predator,0.761177993505674,age_mature
Base,71,Predator,0.75967637683259,age_mature
Base,72,Predator,0.754550156412129,age_mature
Base,73,Predator,0.762781113569797,age_mature
Base,74,Predator,0.742231782639039,age_mature
Base,75,Predator,0.755496214349884,age_mature
Base,76,Predator,0.755952566905255,age_mature
Base,77,Predator,0.758932752143314,age_mature
Base,78,Predator,0.759724038118555,age_mature
Base,79,Predator,0.776840893971052,age_mature
Base,80,Predator,0.747438952555019,age_mature
Base,81,Predator,0.762167513333065,age_mature
Base,82,Predator,0.74843501029846,age_mature
Base,83,Predator,0.769093651434358,age_mature
Base,84,Predator,0.736195618934828,age_mature
Base,85,Predator,0.765194243852774,age_mature
Base,86,Predator,0.764069772986803,age_mature
Base,87,Predator,0.770006225231963,age_mature
Base,88,Predator,0.748299702108925,age_mature
Base,89,Predator,0.759537802851246,age_mature
Base,90,Predator,0.753850807315517,age_mature
Base,91,Predator,0.757996101776469,age_mature
Base,92,Predator,0.742904640800207,age_mature
Base,93,Predator,0.763277121166551,age_mature
Base,94,Predator,0.744038663694503,age_mature
Base,95,Predator,0.748338254542643,age_mature
Base,96,Predator,0.754396352202292,age_mature
Base,97,Predator,0.762354409290363,age_mature
Base,98,Predator,0.764149810151212,age_mature
Base,99,Predator,0.761041308050467,age_mature
Base,100,Predator,0.753037686997658,age_mature
Base,1,Invertebrate,0.916103248065988,age_mature
Base,2,Invertebrate,0.96605341674859,age_mature
Base,3,Invertebrate,0.940955562676447,age_mature
Base,4,Invertebrate,0.977211971251231,age_mature
Base,5,Invertebrate,0.952569878245095,age_mature
Base,6,Invertebrate,0.958835243125255,age_mature
Base,7,Invertebrate,0.95111526694829,age_mature
Base,8,Invertebrate,0.96134584914925,age_mature
Base,9,Invertebrate,0.926064510866308,age_mature
Base,10,Invertebrate,0.953608042360714,age_mature
Base,11,Invertebrate,0.973472696271254,age_mature
Base,12,Invertebrate,0.982453159564722,age_mature
Base,13,Invertebrate,0.99079730252612,age_mature
Base,14,Invertebrate,0.922243808268689,age_mature
Base,15,Invertebrate,0.984670505734212,age_mature
Base,16,Invertebrate,0.940180323511746,age_mature
Base,17,Invertebrate,0.943091193489129,age_mature
Base,18,Invertebrate,0.97476858287911,age_mature
Base,19,Invertebrate,0.953461543448047,age_mature
Base,20,Invertebrate,0.922440376176575,age_mature
Base,21,Invertebrate,0.940544666986207,age_mature
Base,22,Invertebrate,0.918878802046878,age_mature
Base,23,Invertebrate,0.934259869205151,age_mature
Base,24,Invertebrate,0.968007065054617,age_mature
Base,25,Invertebrate,0.956860146776468,age_mature
Base,26,Invertebrate,0.982872759801251,age_mature
Base,27,Invertebrate,0.962867650566579,age_mature
Base,28,Invertebrate,0.951667539977747,age_mature
Base,29,Invertebrate,0.935666388480167,age_mature
Base,30,Invertebrate,0.969616993062957,age_mature
Base,31,Invertebrate,0.970192278556932,age_mature
Base,32,Invertebrate,0.998821990024353,age_mature
Base,33,Invertebrate,0.962077749262749,age_mature
Base,34,Invertebrate,0.972501452056176,age_mature
Base,35,Invertebrate,0.989433434421792,age_mature
Base,36,Invertebrate,0.959524003740498,age_mature
Base,37,Invertebrate,0.973368411946883,age_mature
Base,38,Invertebrate,0.950084991992031,age_mature
Base,39,Invertebrate,0.947500217915888,age_mature
Base,40,Invertebrate,0.921725070710092,age_mature
Base,41,Invertebrate,0.931380837839149,age_mature
Base,42,Invertebrate,0.969639012324719,age_mature
Base,43,Invertebrate,0.922530547670229,age_mature
Base,44,Invertebrate,0.926596480746723,age_mature
Base,45,Invertebrate,0.933232431035601,age_mature
Base,46,Invertebrate,0.953710460821921,age_mature
Base,47,Invertebrate,0.921997633304354,age_mature
Base,48,Invertebrate,0.95416224639599,age_mature
Base,49,Invertebrate,0.93470209331081,age_mature
Base,50,Invertebrate,0.967473669966646,age_mature
Base,51,Invertebrate,0.966238337112753,age_mature
Base,52,Invertebrate,0.963962369495383,age_mature
Base,53,Invertebrate,0.951666792725947,age_mature
Base,54,Invertebrate,0.949629994747365,age_mature
Base,55,Invertebrate,0.997716086254372,age_mature
Base,56,Invertebrate,0.956255569414344,age_mature
Base,57,Invertebrate,0.968230558384517,age_mature
Base,58,Invertebrate,0.984976895831698,age_mature
Base,59,Invertebrate,0.969867698341679,age_mature
Base,60,Invertebrate,0.967290122561838,age_mature
Base,61,Invertebrate,0.969238558069704,age_mature
Base,62,Invertebrate,0.970760144813733,age_mature
Base,63,Invertebrate,0.968694609393004,age_mature
Base,64,Invertebrate,0.960404549690291,age_mature
Base,65,Invertebrate,0.985079440788876,age_mature
Base,66,Invertebrate,0.960282191878572,age_mature
Base,67,Invertebrate,0.942171017842291,age_mature
Base,68,Invertebrate,0.976025014535099,age_mature
Base,69,Invertebrate,0.964873317659247,age_mature
Base,70,Invertebrate,0.971823583026318,age_mature
Base,71,Invertebrate,0.964646924929276,age_mature
Base,72,Invertebrate,0.962213800717365,age_mature
Base,73,Invertebrate,0.973683503288579,age_mature
Base,74,Invertebrate,0.954326772850351,age_mature
Base,75,Invertebrate,0.979101241296527,age_mature
Base,76,Invertebrate,0.997070378567844,age_mature
Base,77,Invertebrate,0.945281113203417,age_mature
