species,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,response_center,response_unit,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance,latin,group,species_order,cell_label,indicator_label
DecapterusMaruadsi,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,54642.4884235,47705.4668878148,-0.190362659951332,log2 response ratio,-12.3614609263199,-14.7920113011268,-9.9378481681146,-9.27018221725166,99,4.27536809406097e-15,-0.927018221725166,5.98551533168536e-15,***,Decapterus maruadsi,Mid-trophic species,10,-12.4***,Biomass
PennahiaArgentata,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,546056.966366667,704138.437019753,0.370610798404682,log2 response ratio,29.2900094020862,26.7162799541445,31.7512056716469,25.5930247390821,99,1.93606758785564e-45,2.55930247390821,6.77623655749474e-45,***,Pennahia argentata,Mid-trophic species,11,+29.3***,Biomass
PampusArgenteus,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,9758.29592694,13796.233789484,0.543562797312521,log2 response ratio,45.7567602125824,37.5412154651162,55.099622159668,12.0287159855161,99,4.45456491248424e-21,1.20287159855161,7.79548859684742e-21,***,Pampus argenteus,Mid-trophic species,12,+45.8***,Biomass
LarimichthysPolyactis,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,600557.55376,654664.555085185,0.125903281713089,log2 response ratio,9.11907211682303,7.83204018189368,10.4127023240724,14.4608632554691,99,3.78201638100384e-26,1.44608632554691,7.56403276200767e-26,***,Larimichthys polyactis,Mid-trophic species,13,+9.1***,Biomass
TrachurusJaponicus,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,14441.5265504667,11590.8467294864,-0.306525040062814,log2 response ratio,-19.1412974299418,-22.3080585686976,-15.900441067918,-10.3368648558529,99,2.01654462665178e-17,-1.03368648558529,3.13684719701387e-17,***,Trachurus japonicus,Mid-trophic species,14,-19.1***,Biomass
EngraulisJaponicus,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1003997.82573667,738143.021364198,-0.443321627688239,log2 response ratio,-26.4560600770917,-27.0806139911251,-25.819236253891,-69.299829599114,99,1.0475427656191e-85,-6.9299829599114,7.33279935933372e-85,***,Engraulis japonicus,Prey,1,-26.5***,Biomass
ScomberomorusNiphonius,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,91790.0010016667,93499.3009423457,0.02684478455479,log2 response ratio,1.87815829151441,1.437098689539,2.31448581812578,8.45517121166752,99,2.51675958677098e-13,0.845517121166752,2.71035647806106e-13,***,Scomberomorus niphonius,Predator,2,+1.9***,Biomass
TrichiurusJaponicus,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1663672.68136667,1508897.17960123,-0.139972346009975,log2 response ratio,-9.24634489301073,-10.1749554316551,-8.32608459438858,-18.62395828052,99,4.03032646899303e-34,-1.862395828052,7.0530713207378e-34,***,Trichiurus japonicus,Predator,3,-9.2***,Biomass
MuraenesoxCinereus,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,719566.238656667,842001.549893827,0.22718662428709,log2 response ratio,17.055005181011,16.2651402827664,17.8572272371609,44.7876084596994,99,1.57381666116976e-67,4.47876084596994,5.50835831409417e-67,***,Muraenesox cinereus,Predator,4,+17.1***,Biomass
MiichthysMiiuy,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,66117.009757,82211.5721638272,0.316791551525407,log2 response ratio,24.5557437612842,22.73096099573,26.3967106621283,29.5322239519526,99,6.90408686533833e-51,2.95322239519526,1.61095360191228e-50,***,Miichthys miiuy,Predator,5,+24.6***,Biomass
TodarodesPacificus,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,849666.623216667,917753.986448148,0.112333668092767,log2 response ratio,8.09753823034358,6.96477008642142,9.21826097781222,14.2180810710257,99,1.17873018849308e-25,1.42180810710257,1.83358029321145e-25,***,Todarodes pacificus,Invertebrate,6,+8.1***,Biomass
TrachysalambriaCurvirostris,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,262208.412256,266575.459809383,0.0258439870234473,log2 response ratio,1.8075099216353,0.16532680817437,3.41048694810715,2.20166485346286,99,0.0300112088945391,0.220166485346286,0.0300112088945391,*,Trachysalambria curvirostris,Invertebrate,7,+1.8*,Biomass
