group,scenario,metric,pct,pct_lo,pct_hi
Prey,SSP1-2.6,ingestion_age_standardized,5.41806638224824,4.85423470805714,5.98997730538543
Prey,SSP1-2.6,maintenance_age_standardized,27.5390997321032,26.6922507228359,28.3518292281408
Prey,SSP1-2.6,enet_age_standardized,8.05043796422298,7.37612018410281,8.74070589671736
Prey,SSP1-2.6,mbi_age_standardized,20.9416004491488,19.6713490458971,22.1071607319992
Prey,SSP5-8.5,ingestion_age_standardized,9.06115020535927,8.42931606480956,9.68801543125738
Prey,SSP5-8.5,maintenance_age_standardized,56.71267997614,55.6287232738071,57.7997385236897
Prey,SSP5-8.5,enet_age_standardized,12.731563512657,12.0202888484494,13.4560284176648
Prey,SSP5-8.5,mbi_age_standardized,43.6534065619644,42.2482844503794,45.1282363003933
Predator,SSP1-2.6,ingestion_age_standardized,-0.6826168497019,-0.858715860395086,-0.517610266704102
Predator,SSP1-2.6,maintenance_age_standardized,25.4083526498898,24.9567864172549,25.8473909411946
Predator,SSP1-2.6,enet_age_standardized,4.02563961425617,3.62525117992944,4.43378883556311
Predator,SSP1-2.6,mbi_age_standardized,25.9166142455151,25.0204623530591,26.8572965537139
Predator,SSP5-8.5,ingestion_age_standardized,-1.7820162627924,-1.94613769518388,-1.61642277341766
Predator,SSP5-8.5,maintenance_age_standardized,47.3711431380705,46.8338904104646,47.9027288232145
Predator,SSP5-8.5,enet_age_standardized,7.12869116564434,6.71527223075413,7.54395459081783
Predator,SSP5-8.5,mbi_age_standardized,39.5710939868917,38.5660617595782,40.5817904005896
Invertebrate,SSP1-2.6,ingestion_age_standardized,-10.3943452334148,-11.6994428890301,-9.07554407246279
Invertebrate,SSP1-2.6,maintenance_age_standardized,52.0905244248197,48.7626098964953,55.2622588735796
Invertebrate,SSP1-2.6,enet_age_standardized,9.10979063431301,7.4243384823825,10.9673442030173
Invertebrate,SSP1-2.6,mbi_age_standardized,78.9906846251586,73.8066221910177,84.5999335836841
Invertebrate,SSP5-8.5,ingestion_age_standardized,-10.1917104749145,-11.5627566198593,-8.74830986156725
Invertebrate,SSP5-8.5,maintenance_age_standardized,80.7713711152247,77.1860964062751,84.5682916357344
Invertebrate,SSP5-8.5,enet_age_standardized,10.6945239927872,9.017432915634,12.4638873927607
Invertebrate,SSP5-8.5,mbi_age_standardized,110.887911349395,104.361939908431,117.426004643345
Mid-trophic species,SSP1-2.6,ingestion_age_standardized,0.509961604396558,0.300313638749082,0.723405015119505
Mid-trophic species,SSP1-2.6,maintenance_age_standardized,15.4700299655516,15.0590083476033,15.8870691751917
Mid-trophic species,SSP1-2.6,enet_age_standardized,8.87917279013772,8.53836047367393,9.20625576523721
Mid-trophic species,SSP1-2.6,mbi_age_standardized,13.8278762888328,13.1520919674955,14.47542731564
Mid-trophic species,SSP5-8.5,ingestion_age_standardized,0.75553361220404,0.514225534225466,1.00303905853775
Mid-trophic species,SSP5-8.5,maintenance_age_standardized,37.8890596313475,37.3937008412859,38.3600699184909
Mid-trophic species,SSP5-8.5,enet_age_standardized,12.6058439928908,12.2679515001224,12.9732961675038
Mid-trophic species,SSP5-8.5,mbi_age_standardized,36.9962085183605,36.2492117630165,37.7914290160135
