group,scenario,run,maintenance,base_mean,maintenance_index,group_label,scenario_x,point_x
Invertebrate,Base,1,0.315884302516667,0.281760974528506,112.110736075236,Invertebrate,1,1.14395107815508
Invertebrate,Base,2,0.254559974272222,0.281760974528506,90.3460724815419,Invertebrate,1,1.13406620080955
Invertebrate,Base,3,0.264326689538889,0.281760974528506,93.8123847637909,Invertebrate,1,1.14841836273484
Invertebrate,Base,4,0.2749013086,0.281760974528506,97.565430791122,Invertebrate,1,1.13850398975704
Invertebrate,Base,5,0.241378642044444,0.281760974528506,85.6678759180059,Invertebrate,1,1.14985446061939
Invertebrate,Base,6,0.307587183322222,0.281760974528506,109.165999243484,Invertebrate,1,1.1542412038343
Invertebrate,Base,7,0.284137325788889,0.281760974528506,100.843392618286,Invertebrate,1,1.12096508752182
Invertebrate,Base,8,0.272970498722222,0.281760974528506,96.8801656010051,Invertebrate,1,1.09651073007472
Invertebrate,Base,9,0.3097624478,0.281760974528506,109.938024000077,Invertebrate,1,1.14701408016309
Invertebrate,Base,10,0.3084397338,0.281760974528506,109.468578576624,Invertebrate,1,1.13796526834462
Invertebrate,Base,11,0.343845462644444,0.281760974528506,122.034452507069,Invertebrate,1,1.09228062455636
Invertebrate,Base,12,0.328046046233333,0.281760974528506,116.427069711226,Invertebrate,1,1.11771707206406
Invertebrate,Base,13,0.340761853888889,0.281760974528506,120.940046597693,Invertebrate,1,1.14426877666917
Invertebrate,Base,14,0.322855852961111,0.281760974528506,114.58501430206,Invertebrate,1,1.12115824312717
Invertebrate,Base,15,0.243255437655555,0.281760974528506,86.3339708639975,Invertebrate,1,1.12451230687276
Invertebrate,Base,16,0.263716805622222,0.281760974528506,93.5959304028962,Invertebrate,1,1.10518148111645
Invertebrate,Base,17,0.255807771511111,0.281760974528506,90.7889291407996,Invertebrate,1,1.1510136663802
Invertebrate,Base,18,0.279799599427778,0.281760974528506,99.3038868835508,Invertebrate,1,1.14189805294294
Invertebrate,Base,19,0.289350009044444,0.281760974528506,102.693429964401,Invertebrate,1,1.13782324597798
Invertebrate,Base,20,0.274080440127778,0.281760974528506,97.2740957424709,Invertebrate,1,1.12372497675475
Invertebrate,Base,21,0.308825425994444,0.281760974528506,109.605464884279,Invertebrate,1,1.11322104775812
Invertebrate,Base,22,0.245655663088889,0.281760974528506,87.1858366830131,Invertebrate,1,1.12255565736163
Invertebrate,Base,23,0.294432903205556,0.281760974528506,104.497403765108,Invertebrate,1,1.11685518693831
Invertebrate,Base,24,0.267760310044444,0.281760974528506,95.0310136073707,Invertebrate,1,1.12275059277564
Invertebrate,Base,25,0.268885373655556,0.281760974528506,95.4303107822168,Invertebrate,1,1.09917021522112
Invertebrate,Base,26,0.254479696011111,0.281760974528506,90.3175808633377,Invertebrate,1,1.10674978752341
Invertebrate,Base,27,0.275780314816667,0.281760974528506,97.8773995505066,Invertebrate,1,1.10171049868967
Invertebrate,Base,28,0.304578164605555,0.281760974528506,108.098066141073,Invertebrate,1,1.13198496499285
Invertebrate,Base,29,0.255120776616667,0.281760974528506,90.5451072646174,Invertebrate,1,1.11711955480743
Invertebrate,Base,30,0.298712632911111,0.281760974528506,106.016325863073,Invertebrate,1,1.10216727417428
Invertebrate,Base,31,0.292907763977778,0.281760974528506,103.956115451377,Invertebrate,1,1.14314840786438
Invertebrate,Base,32,0.247634552627778,0.281760974528506,87.8881658619209,Invertebrate,1,1.14313811695576
Invertebrate,Base,33,0.286571435480555,0.281760974528506,101.707284324985,Invertebrate,1,1.13098508819751
Invertebrate,Base,34,0.316051850444444,0.281760974528506,112.170200636664,Invertebrate,1,1.10963166491967
Invertebrate,Base,35,0.297151553216667,0.281760974528506,105.462281891208,Invertebrate,1,1.1535127782505
Invertebrate,Base,36,0.310823965111111,0.281760974528506,110.314767909658,Invertebrate,1,1.11601934754662
Invertebrate,Base,37,0.277863582538889,0.281760974528506,98.616773669193,Invertebrate,1,1.15324352845084
Invertebrate,Base,38,0.330092891322222,0.281760974528506,117.153517045643,Invertebrate,1,1.13550774077792
Invertebrate,Base,39,0.250069387394444,0.281760974528506,88.7523149055353,Invertebrate,1,1.15308142800909
Invertebrate,Base,40,0.301911793077778,0.281760974528506,107.151742210926,Invertebrate,1,1.11152925370913
Invertebrate,Base,41,0.26751284075,0.281760974528506,94.9431840934153,Invertebrate,1,1.11935669036862
Invertebrate,Base,42,0.2683868319,0.281760974528506,95.2533729517063,Invertebrate,1,1.15873142070603
Invertebrate,Base,43,0.26480016195,0.281760974528506,93.980425214355,Invertebrate,1,1.11276454658713
Invertebrate,Base,44,0.275238440972222,0.281760974528506,97.6850826956437,Invertebrate,1,1.13491978627816
Invertebrate,Base,45,0.292577850916667,0.281760974528506,103.839025758007,Invertebrate,1,1.13327601721883
Invertebrate,Base,46,0.267308716388889,0.281760974528506,94.870738162444,Invertebrate,1,1.12078240504116
Invertebrate,Base,47,0.305180553744445,0.281760974528506,108.311860524733,Invertebrate,1,1.10463974586409
Invertebrate,Base,48,0.321983089133333,0.281760974528506,114.275261033624,Invertebrate,1,1.1332693480067
Invertebrate,Base,49,0.244621032477778,0.281760974528506,86.8186351524098,Invertebrate,1,1.1303728340175
Invertebrate,Base,50,0.260872162133333,0.281760974528506,92.5863358365623,Invertebrate,1,1.14041438024957
Invertebrate,Base,51,0.285090195422222,0.281760974528506,101.181576298594,Invertebrate,1,1.1296332677165
Invertebrate,Base,52,0.290831919422222,0.281760974528506,103.219375894371,Invertebrate,1,1.12307434765808
Invertebrate,Base,53,0.310176211988889,0.281760974528506,110.084873360455,Invertebrate,1,1.11316062786523
Invertebrate,Base,54,0.247970525277778,0.281760974528506,88.0074061685539,Invertebrate,1,1.14423253763374
Invertebrate,Base,55,0.311646075066666,0.281760974528506,110.606543574095,Invertebrate,1,1.14343543575425
Invertebrate,Base,56,0.283971041861111,0.281760974528506,100.784376664052,Invertebrate,1,1.13195083278604
Invertebrate,Base,57,0.296085044586666,0.281760974528506,105.083766508875,Invertebrate,1,1.15851572317444
Invertebrate,Base,58,0.282012132205556,0.281760974528506,100.089138560608,Invertebrate,1,1.11464376445487
Invertebrate,Base,59,0.258029834138889,0.281760974528506,91.5775630641084,Invertebrate,1,1.15893478139211
Invertebrate,Base,60,0.273319268894444,0.281760974528506,97.0039478859031,Invertebrate,1,1.15828886041697
Invertebrate,Base,61,0.266959476638889,0.281760974528506,94.7467892193427,Invertebrate,1,1.14914071515203
Invertebrate,Base,62,0.305040148816667,0.281760974528506,108.26202930591,Invertebrate,1,1.1214781038519
Invertebrate,Base,63,0.246830897177778,0.281760974528506,87.6029398999704,Invertebrate,1,1.09800629000273
Invertebrate,Base,64,0.324377496372222,0.281760974528506,115.125061912861,Invertebrate,1,1.10248745902162
Invertebrate,Base,65,0.277136035033333,0.281760974528506,98.3585592352129,Invertebrate,1,1.15083030090202
Invertebrate,Base,66,0.261971522377778,0.281760974528506,92.9765106101571,Invertebrate,1,1.11533585556503
Invertebrate,Base,67,0.283241319122222,0.281760974528506,100.525390216368,Invertebrate,1,1.13604647764284
Invertebrate,Base,68,0.272136945016667,0.281760974528506,96.5843284266236,Invertebrate,1,1.11687641065195
Invertebrate,Base,69,0.261231424572222,0.281760974528506,92.7138419397374,Invertebrate,1,1.11559555334225
Invertebrate,Base,70,0.278567888333333,0.281760974528506,98.8667393699516,Invertebrate,1,1.10302798874117
Invertebrate,Base,71,0.326387039938889,0.281760974528506,115.838270535889,Invertebrate,1,1.1446242116075
Invertebrate,Base,72,0.258325509427778,0.281760974528506,91.6825014039136,Invertebrate,1,1.11004776665848
Invertebrate,Base,73,0.288657617727778,0.281760974528506,102.447692839937,Invertebrate,1,1.10665619808622
Invertebrate,Base,74,0.272229602505555,0.281760974528506,96.6172135658958,Invertebrate,1,1.09243246757519
Invertebrate,Base,75,0.270324148527778,0.281760974528506,95.9409474573738,Invertebrate,1,1.11233163770102
Invertebrate,Base,76,0.250454530611111,0.281760974528506,88.8890063750731,Invertebrate,1,1.12750169625413
Invertebrate,Base,77,0.316169898411111,0.281760974528506,112.212097129556,Invertebrate,1,1.15615737809148
Invertebrate,Base,78,0.288080217694444,0.281760974528506,102.242767358579,Invertebrate,1,1.09314045082591
Invertebrate,Base,79,0.264363697488889,0.281760974528506,93.8255192832404,Invertebrate,1,1.11793144641165
Invertebrate,Base,80,0.301666147855556,0.281760974528506,107.064560079819,Invertebrate,1,1.11408352531958
Invertebrate,Base,81,0.274281990116667,0.281760974528506,97.3456280010551,Invertebrate,1,1.14489414918609
Invertebrate,Base,82,0.340410858183333,0.281760974528506,120.815474447081,Invertebrate,1,1.14292286341451
Invertebrate,Base,83,0.254350133422222,0.281760974528506,90.2715977071871,Invertebrate,1,1.13070880111214
Invertebrate,Base,84,0.257423995588889,0.281760974528506,91.3625444473488,Invertebrate,1,1.12998881568294
Invertebrate,Base,85,0.2705369461,0.281760974528506,96.0164716042427,Invertebrate,1,1.13550882413145
Invertebrate,Base,86,0.276296776772222,0.281760974528506,98.0606974527161,Invertebrate,1,1.13976545488648
Invertebrate,Base,87,0.294564226566667,0.281760974528506,104.544011838256,Invertebrate,1,1.09919602072891
Invertebrate,Base,88,0.264452738705556,0.281760974528506,93.8571209686106,Invertebrate,1,1.1179069844326
Invertebrate,Base,89,0.340806740383334,0.281760974528506,120.955977297294,Invertebrate,1,1.1082217533458
Invertebrate,Base,90,0.250569867216667,0.281760974528506,88.9299405767482,Invertebrate,1,1.14485387137905
Invertebrate,Base,91,0.262586554138889,0.281760974528506,93.1947919964066,Invertebrate,1,1.11407964104135
Invertebrate,Base,92,0.24122454805,0.281760974528506,85.6131863022058,Invertebrate,1,1.14768225092348
Invertebrate,Base,93,0.274222843744445,0.281760974528506,97.3246363174762,Invertebrate,1,1.1323948354302
Invertebrate,Base,94,0.262219447188889,0.281760974528506,93.0645017918762,Invertebrate,1,1.09491150730755
Invertebrate,Base,95,0.275639778705556,0.281760974528506,97.827521773307,Invertebrate,1,1.10507619457692
Invertebrate,Base,96,0.289462791572222,0.281760974528506,102.733457696405,Invertebrate,1,1.15787856544741
Invertebrate,Base,97,0.234132248605556,0.281760974528506,83.0960529567123,Invertebrate,1,1.1231599089494
Invertebrate,Base,98,0.264445912333333,0.281760974528506,93.8546982156961,Invertebrate,1,1.15349820429087
Invertebrate,Base,99,0.304287215027778,0.281760974528506,107.994805006963,Invertebrate,1,1.14503807376232
Invertebrate,Base,100,0.261638925883333,0.281760974528506,92.8584685374387,Invertebrate,1,1.13033336390462
Invertebrate,SSP1-2.6,1,0.441283128650206,0.281760974528506,156.616128045639,Invertebrate,2,2.15096431475505
Invertebrate,SSP1-2.6,2,0.477236997156379,0.281760974528506,169.376542636886,Invertebrate,2,2.13039363538381
Invertebrate,SSP1-2.6,3,0.426290962368313,0.281760974528506,151.29524700206,Invertebrate,2,2.10687116010394
Invertebrate,SSP1-2.6,4,0.409693367841564,0.281760974528506,145.404582209136,Invertebrate,2,2.11873622026946
Invertebrate,SSP1-2.6,5,0.399318907512346,0.281760974528506,141.722574668319,Invertebrate,2,2.1422331847949
Invertebrate,SSP1-2.6,6,0.417802866302469,0.281760974528506,148.282730424827,Invertebrate,2,2.15368622675166
Invertebrate,SSP1-2.6,7,0.42701367049177,0.281760974528506,151.551743887289,Invertebrate,2,2.11982655512169
Invertebrate,SSP1-2.6,8,0.451980879641975,0.281760974528506,160.412874919358,Invertebrate,2,2.15780570347048
Invertebrate,SSP1-2.6,9,0.390925988244856,0.281760974528506,138.743837360382,Invertebrate,2,2.15582190945093
Invertebrate,SSP1-2.6,10,0.465482958475309,0.281760974528506,165.204907902608,Invertebrate,2,2.1219865557244
Invertebrate,SSP1-2.6,11,0.45391383845679,0.281760974528506,161.098902790339,Invertebrate,2,2.14121730628237
Invertebrate,SSP1-2.6,12,0.383376240347737,0.281760974528506,136.0643506395,Invertebrate,2,2.14752162086032
Invertebrate,SSP1-2.6,13,0.446706654765432,0.281760974528506,158.540995790118,Invertebrate,2,2.11440064251237
