species,scenario,run,latin,species_order,maintenance,base_mean,maintenance_index,scenario_x,point_x,species_label
DecapterusMaruadsi,Base,35,Decapterus maruadsi,10,0.401309444888889,0.411889757907778,97.4312755256086,1,1.15183555600047,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,36,Decapterus maruadsi,10,0.416128539555556,0.411889757907778,101.029105863013,1,1.11654762122035,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,37,Decapterus maruadsi,10,0.408056772555556,0.411889757907778,99.0694147454184,1,1.15158214442432,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,38,Decapterus maruadsi,10,0.410099760222222,0.411889757907778,99.5654182578736,1,1.13488963837922,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,39,Decapterus maruadsi,10,0.412529293333333,0.411889757907778,100.15526859148,1,1.15142957930267,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,40,Decapterus maruadsi,10,0.423747895777778,0.411889757907778,102.878959149223,1,1.11232165054977,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,41,Decapterus maruadsi,10,0.414983651222222,0.411889757907778,100.75114596929,1,1.1196886497587,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,42,Decapterus maruadsi,10,0.415788880444444,0.411889757907778,100.946642265754,1,1.15674721948802,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,43,Decapterus maruadsi,10,0.406769578333333,0.411889757907778,98.7569053427176,1,1.11348427914083,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,44,Decapterus maruadsi,10,0.411700188,0.411889757907778,99.953975571342,1,1.13433626943827,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,45,Decapterus maruadsi,10,0.419891883222222,0.411889757907778,101.942783271692,1,1.13278919267654,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,46,Decapterus maruadsi,10,0.417827289555556,0.411889757907778,101.441534180878,1,1.12103049886227,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,47,Decapterus maruadsi,10,0.418846611555556,0.411889757907778,101.689008652003,1,1.10583740787208,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,48,Decapterus maruadsi,10,0.406672017666667,0.411889757907778,98.7332192313752,1,1.13278291577101,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,49,Decapterus maruadsi,10,0.414794441222222,0.411889757907778,100.70520892027,1,1.13005678495765,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,50,Decapterus maruadsi,10,0.416004213888889,0.411889757907778,100.9989216537,1,1.13950765199959,bolditalic('Decapterus maruadsi')
