species,latin,group,species_order,scenario,metric,estimate,lo,hi,pct,pct_lo,pct_hi
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,SSP5-8.5,ingestion_age_standardized,-0.013343929888098,-0.0136408742726688,-0.0130388344657227,-1.3255294342516,-1.35482591425872,-1.29541971204104
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,SSP1-2.6,ingestion_age_standardized,0.00789950101353498,0.00567648121981031,0.0101110645468743,0.793078439177086,0.569262296765238,1.0162354078179
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,SSP5-8.5,ingestion_age_standardized,0.0109961403515572,0.0088143428832955,0.0132651249279676,1.10568201133074,0.885330359040659,1.33534970209293
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,SSP1-2.6,ingestion_age_standardized,-0.0180863896421881,-0.0188190203381744,-0.0173451382263987,-1.79238125169439,-1.86430481784589,-1.71955772832043
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,SSP5-8.5,ingestion_age_standardized,-0.0220481505738304,-0.0227944226934431,-0.0213114717972815,-2.18068666434558,-2.25365925855469,-2.10859870269907
MiichthysMiiuy,Miichthys miiuy,Predator,5,SSP1-2.6,ingestion_age_standardized,-1.11416495658405e-06,-0.00468466023521813,0.00436994318810669,-0.00011141643359025,-0.467370432936731,0.43795053134148
MiichthysMiiuy,Miichthys miiuy,Predator,5,SSP5-8.5,ingestion_age_standardized,-0.0217864963225728,-0.0263373994935364,-0.0174525414029704,-2.15508847636489,-2.59935951048733,-1.73011279318138
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,SSP1-2.6,ingestion_age_standardized,-0.181068732774228,-0.212845996702689,-0.147294222387753,-16.5621992390355,-19.1719394489621,-13.6959985636409
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,SSP5-8.5,ingestion_age_standardized,-0.186971243800009,-0.219577826017523,-0.15277471398698,-17.0532411621687,-19.7142327953695,-14.1676931786623
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,SSP1-2.6,ingestion_age_standardized,-0.033468379709168,-0.0535698766015167,-0.0128469275907438,-3.29145097275969,-5.21602931277768,-1.27647580681719
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,SSP5-8.5,ingestion_age_standardized,-0.0325505288202899,-0.0526089819196276,-0.0120135161396513,-3.202646196536,-5.12490812749598,-1.1941641963073
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,SSP1-2.6,ingestion_age_standardized,-0.256982459630976,-0.27922074893291,-0.234838068186675,-22.661822095172,-24.3627083729518,-20.9301121434323
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,SSP5-8.5,ingestion_age_standardized,-0.231830833500461,-0.253304852766483,-0.209662768178623,-20.6919725426684,-22.3768790481185,-18.9142353131014
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,SSP1-2.6,ingestion_age_standardized,0.0313596386035359,0.029682397804995,0.0330957701332722,3.18565326068343,3.01273112977478,3.36495272541641
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,SSP5-8.5,ingestion_age_standardized,0.0529396347756475,0.0511977943466215,0.0547879751652121,5.43659961583756,5.25310573884787,5.63166255726864
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,ingestion_age_standardized,-0.00321958077261755,-0.00494369132111507,-0.00145780273558572,-0.321440348016933,-0.493149139168392,-0.145674065734069
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,ingestion_age_standardized,-0.00756309752566621,-0.0093184094601588,-0.00584936678652481,-0.753456926954166,-0.92751276263402,-0.583229254800577
