scenario,run,group,ingestion_age_standardized,maintenance_age_standardized,enet_age_standardized,mbi_age_standardized
Base,1,Prey,26.3932952377778,1.17581781322222,15.5518822788889,0.0445498677838161
Base,1,Predator,66.7699948205954,0.538141745078334,56.2966447931679,0.0375490548476355
Base,1,Invertebrate,17.6519839377778,0.315884302516667,4.07456999755556,0.0208786895024227
Base,1,Mid-trophic species,56.7173211857221,0.412550754390489,44.7259203758968,0.0294497587762106
Base,2,Prey,28.1191591377778,1.16010474833333,16.6844178466667,0.0412567368266267
Base,2,Predator,67.4460543566665,0.537631781447737,57.1530018650595,0.0377749541778353
Base,2,Invertebrate,17.0165807205556,0.254559974272222,3.71428597272222,0.0177260535101883
Base,2,Mid-trophic species,56.7688852942487,0.41041773400045,45.8021782407627,0.0292166684418741
Base,3,Prey,26.478228,1.14752997344444,15.8699141788889,0.0433386242253237
Base,3,Predator,66.3820368041666,0.530196862075238,56.5311808145834,0.0360911083587071
Base,3,Invertebrate,14.8992435672222,0.264326689538889,3.22236137818333,0.0200990035016124
Base,3,Mid-trophic species,56.4374040533215,0.403719973347778,44.8114898756349,0.0290938488994436
Base,4,Prey,26.1533277444445,1.161372071,15.4824240566667,0.044406282915439
Base,4,Predator,67.5604525865476,0.533844602294406,54.8252177498775,0.0377639120733836
Base,4,Invertebrate,16.632290745,0.2749013086,3.70614162902778,0.0203275387260655
Base,4,Mid-trophic species,56.8181278492499,0.419380180244894,46.088788515627,0.029739601407994
Base,5,Prey,27.0043457444445,1.13971566,16.3100182233333,0.042204898085134
Base,5,Predator,67.3974016109523,0.537883868592858,56.7222527607596,0.0376587795980783
Base,5,Invertebrate,17.7509977172222,0.241378642044444,3.63632681122222,0.015518994240342
Base,5,Mid-trophic species,57.4117249915952,0.410317855789153,45.3345567225111,0.0287822689726624
Base,6,Prey,26.57256335,1.16674019144444,15.8613938566667,0.0439077019434199
Base,6,Predator,67.7235138992858,0.541324493375119,55.7139173003702,0.0368746873158534
Base,6,Invertebrate,16.9999844283333,0.307587183322222,3.79318867577778,0.0237188282043791
Base,6,Mid-trophic species,56.8261089515661,0.397228292500847,44.7907396231966,0.028686742531179
Base,7,Prey,26.5530146666667,1.141309666,15.7374897233333,0.0429823008922879
Base,7,Predator,67.8560419141665,0.533012611021309,56.0818698173833,0.0389702038259807
Base,7,Invertebrate,16.7150801911111,0.284137325788889,2.93735776377778,0.0169831490394888
Base,7,Mid-trophic species,56.4025818686812,0.420466707129974,44.1478578335159,0.0299832428703688
Base,8,Prey,26.6597945666667,1.17762333077778,15.9372282244444,0.0441722582607664
Base,8,Predator,68.3386363134523,0.532423813203094,55.6312162688316,0.037839445939159
Base,8,Invertebrate,16.8779476472222,0.272970498722222,3.82503928161111,0.0194689009720237
Base,8,Mid-trophic species,56.5327449700873,0.404951561094604,45.0581328511487,0.0287329309736093
Base,9,Prey,27.1139793888889,1.15915818655556,16.0943051855556,0.0427513117838605
Base,9,Predator,66.961799885119,0.529819750975477,56.2163356196315,0.0351507961692417
Base,9,Invertebrate,17.1685229172222,0.3097624478,3.96147076988889,0.0203907908016962
Base,9,Mid-trophic species,57.1354823217831,0.403256878180132,45.3649227753026,0.0289291280824443
Base,10,Prey,26.66727395,1.15742032044444,15.5401956655556,0.0434022736112644
Base,10,Predator,67.6129510895238,0.536041880590713,55.3678887790869,0.0372410522654963
Base,10,Invertebrate,17.5896897283333,0.3084397338,3.71096036922222,0.0211231215737667
Base,10,Mid-trophic species,57.0264225198716,0.41042762916664,44.7870955686712,0.0292700026344825
Base,11,Prey,26.4851410444444,1.17851308488889,15.5302702666667,0.0444971421111648
Base,11,Predator,67.1776080215475,0.545336552287977,56.1270359621429,0.0398909128221971
Base,11,Invertebrate,17.7196956538889,0.343845462644444,3.64403638722222,0.0217636226930285
Base,11,Mid-trophic species,56.469271502328,0.417907785373863,44.6777652086124,0.0296467181696764
Base,12,Prey,27.495829,1.168403644,16.1229615066667,0.0424938503945453
Base,12,Predator,67.7645714002379,0.546096494401667,57.5519860929976,0.0392767415442957
Base,12,Invertebrate,16.4791807222222,0.328046046233333,3.42281641602222,0.0218429961453264
Base,12,Mid-trophic species,56.9767425720806,0.408667670960715,45.2716551198619,0.0291355159716805
Base,13,Prey,28.3181807311111,1.16418313366667,16.8896158322222,0.0411108024459941
Base,13,Predator,67.5486173789285,0.536125890211428,54.9826186251476,0.0376609078246194
