"Time year","Miichthys.miiuy"
0,0
0.0909,0
0.1818,0
0.2727,0
0.3636,0.166666667
0.4545,0.20000000048
0.5455,0.25000000075
0.6364,0.333333334666667
0.7273,0.500000003
0.8182,1.000000012
0.9091,0
1,0
