Analysis unit,Scenario,Reference,"Paired runs, n","Species, n",Base geometric mean MBI,Scenario geometric mean MBI,"Mean paired difference, log2","95% CI low, log2","95% CI high, log2",MBI fold change,"MBI change, %","MBI change 95% CI low, %","MBI change 95% CI high, %",Wilcoxon V,Paired rank-biserial r,"Positive runs, %",Unadjusted P,Holm-adjusted P,Significance
Overall modeled community (14 species),SSP1-2.6,Base,100,14,0.00941913917709911,0.0125018835521214,0.408478347929572,0.401450198760159,0.415424373780219,1.32728514963633,32.7285149636333,32.0834948542498,33.3690929237634,5050,1,100,3.95591160889952e-18,7.91182321779904e-18,***
Overall modeled community (14 species),SSP5-8.5,Base,100,14,0.00941913917709911,0.0147175208248697,0.643867547139087,0.637133768163932,0.650678680248238,1.56251230055636,56.2512300556364,55.5236268181951,56.9906545869311,5050,1,100,3.95591160889952e-18,7.91182321779904e-18,***
