Functional group,Scenario,Reference,"Paired runs, n",Base geometric mean MBI,Scenario geometric mean MBI,"Mean paired difference, log2","95% CI low, log2","95% CI high, log2",MBI fold change,"MBI change, %","MBI change 95% CI low, %","MBI change 95% CI high, %",Wilcoxon V,Paired rank-biserial r,"Positive runs, %",Unadjusted P,Holm-adjusted P,Significance
Invertebrate,SSP1-2.6,Base,100,0.0151253978733792,0.02593077644968,0.777692312743435,0.747313300319619,0.80818469469342,1.71438640270868,71.4386402708678,67.8663778686821,75.1006809993214,5050,1,100,3.95591160889952e-18,3.16472928711962e-17,***
Invertebrate,SSP5-8.5,Base,100,0.0151253978733792,0.0299970992413196,0.987849904011946,0.957913956987299,1.01787530269884,1.98322711854838,98.3227118548379,94.2499136063802,102.493458478592,5050,1,100,3.95591160889952e-18,3.16472928711962e-17,***
Predator,SSP1-2.6,Base,100,0.00689056774072859,0.00926459362411611,0.427104839145018,0.421016551994131,0.433421747568292,1.34453269639237,34.4532696392373,33.8870617710165,35.0432703655022,5050,1,100,3.95591160889952e-18,3.16472928711962e-17,***
Predator,SSP5-8.5,Base,100,0.00689056774072859,0.0111541668341126,0.694887992596474,0.688976370448857,0.700779571948256,1.61875875164579,61.8758751645791,61.2139257932938,62.5382844242179,5050,1,100,3.95591160889952e-18,3.16472928711962e-17,***
Prey,SSP1-2.6,Base,100,0.043868961199817,0.0530739229958499,0.27480264619982,0.260514685972553,0.289364063976671,1.20982857912011,20.982857912011,19.79059851081,22.2101459969169,5050,1,100,3.95591160889952e-18,3.16472928711962e-17,***
Prey,SSP5-8.5,Base,100,0.043868961199817,0.0630359855965402,0.52297511638052,0.50784264100337,0.537974354391925,1.43691539239828,43.6915392398284,42.1922308875151,45.1932469860209,5050,1,100,3.95591160889952e-18,3.16472928711962e-17,***
Mid-trophic species,SSP1-2.6,Base,100,0.00708451079224902,0.00833048921919252,0.233732988333969,0.229577680687023,0.237834274956659,1.17587360136521,17.5873601365206,17.2491676158223,17.922112517256,5050,1,100,3.95591160889952e-18,3.16472928711962e-17,***
Mid-trophic species,SSP5-8.5,Base,100,0.00708451079224902,0.00973161813654429,0.458011476857493,0.453010021046253,0.463074218361908,1.37364716095731,37.364716095731,36.8893321473901,37.8476065816595,5050,1,100,3.95591160889952e-18,3.16472928711962e-17,***
