scenario,run,group,indicator,value
Base,59,Predator,biomass,2538770.5064
Base,60,Predator,biomass,2492306.58553333
Base,61,Predator,biomass,2522212.2221
Base,62,Predator,biomass,2436089.35686667
Base,63,Predator,biomass,2460806.83473333
Base,64,Predator,biomass,2704473.44776667
Base,65,Predator,biomass,2637727.52126667
Base,66,Predator,biomass,2531411.95876667
Base,67,Predator,biomass,2643941.71593333
Base,68,Predator,biomass,2557128.55543333
Base,69,Predator,biomass,2618837.20593333
Base,70,Predator,biomass,2554417.45396667
Base,71,Predator,biomass,2488456.34196667
Base,72,Predator,biomass,2511089.54443333
Base,73,Predator,biomass,2494775.6169
Base,74,Predator,biomass,2539795.24933333
Base,75,Predator,biomass,2620166.41183333
Base,76,Predator,biomass,2563030.96346667
Base,77,Predator,biomass,2518350.94913333
Base,78,Predator,biomass,2611993.65676667
Base,79,Predator,biomass,2573134.59413333
Base,80,Predator,biomass,2557921.798
Base,81,Predator,biomass,2497994.7509
Base,82,Predator,biomass,2561176.67873333
Base,83,Predator,biomass,2486832.92886667
Base,84,Predator,biomass,2466728.62186667
Base,85,Predator,biomass,2574621.65096667
Base,86,Predator,biomass,2648027.3156
Base,87,Predator,biomass,2540706.029
Base,88,Predator,biomass,2467897.1943
Base,89,Predator,biomass,2532945.07836667
Base,90,Predator,biomass,2693735.1315
Base,91,Predator,biomass,2523173.49433333
Base,92,Predator,biomass,2510902.6259
Base,93,Predator,biomass,2624664.58803333
Base,94,Predator,biomass,2390090.4778
Base,95,Predator,biomass,2504320.68246667
Base,96,Predator,biomass,2468557.20646667
Base,97,Predator,biomass,2467143.9131
Base,98,Predator,biomass,2469526.9581
Base,99,Predator,biomass,2594990.65493333
Base,100,Predator,biomass,2606156.15336667
Base,1,Invertebrate,biomass,1526442.38766667
Base,2,Invertebrate,biomass,1547600.48066667
Base,3,Invertebrate,biomass,1589693.49866667
Base,4,Invertebrate,biomass,1542507.85766667
Base,5,Invertebrate,biomass,1590684.97233333
Base,6,Invertebrate,biomass,1582412.801
Base,7,Invertebrate,biomass,1569684.99133333
Base,8,Invertebrate,biomass,1633033.96733333
Base,9,Invertebrate,biomass,1516608.39733333
Base,10,Invertebrate,biomass,1602446.647
Base,11,Invertebrate,biomass,1645059.89566667
Base,12,Invertebrate,biomass,1541285.32413333
Base,13,Invertebrate,biomass,1590257.34433333
Base,14,Invertebrate,biomass,1422507.11966667
Base,15,Invertebrate,biomass,1559656.193
Base,16,Invertebrate,biomass,1589721.791
Base,17,Invertebrate,biomass,1615982.53066667
Base,18,Invertebrate,biomass,1603743.545
Base,19,Invertebrate,biomass,1600666.461
Base,20,Invertebrate,biomass,1580650.58433333
Base,21,Invertebrate,biomass,1562400.96233333
Base,22,Invertebrate,biomass,1616848.72966667
Base,23,Invertebrate,biomass,1544672.693
Base,24,Invertebrate,biomass,1546802.22683333
Base,25,Invertebrate,biomass,1576263.418
Base,26,Invertebrate,biomass,1579766.22966667
Base,27,Invertebrate,biomass,1549167.69833333
Base,28,Invertebrate,biomass,1547819.119
Base,29,Invertebrate,biomass,1583811.024
Base,30,Invertebrate,biomass,1670865.55513333
Base,31,Invertebrate,biomass,1588361.94366667
Base,32,Invertebrate,biomass,1579566.856
Base,33,Invertebrate,biomass,1520404.40466667
