scenario,run,group,age_mature
Base,67,Predator,0.757911228550474
Base,68,Predator,0.749243094821096
Base,69,Predator,0.760531966914242
Base,70,Predator,0.761177993505674
Base,71,Predator,0.75967637683259
Base,72,Predator,0.754550156412129
Base,73,Predator,0.762781113569797
Base,74,Predator,0.742231782639039
Base,75,Predator,0.755496214349884
Base,76,Predator,0.755952566905255
Base,77,Predator,0.758932752143314
Base,78,Predator,0.759724038118555
Base,79,Predator,0.776840893971052
Base,80,Predator,0.747438952555019
Base,81,Predator,0.762167513333065
Base,82,Predator,0.74843501029846
Base,83,Predator,0.769093651434358
Base,84,Predator,0.736195618934828
Base,85,Predator,0.765194243852774
Base,86,Predator,0.764069772986803
Base,87,Predator,0.770006225231963
Base,88,Predator,0.748299702108925
Base,89,Predator,0.759537802851246
Base,90,Predator,0.753850807315517
Base,91,Predator,0.757996101776469
Base,92,Predator,0.742904640800207
Base,93,Predator,0.763277121166551
Base,94,Predator,0.744038663694503
Base,95,Predator,0.748338254542643
Base,96,Predator,0.754396352202292
Base,97,Predator,0.762354409290363
Base,98,Predator,0.764149810151212
Base,99,Predator,0.761041308050467
Base,100,Predator,0.753037686997658
Base,1,Invertebrate,0.916103248065988
Base,2,Invertebrate,0.96605341674859
Base,3,Invertebrate,0.940955562676447
Base,4,Invertebrate,0.977211971251231
Base,5,Invertebrate,0.952569878245095
Base,6,Invertebrate,0.958835243125255
Base,7,Invertebrate,0.95111526694829
Base,8,Invertebrate,0.96134584914925
Base,9,Invertebrate,0.926064510866308
Base,10,Invertebrate,0.953608042360714
Base,11,Invertebrate,0.973472696271254
Base,12,Invertebrate,0.982453159564722
Base,13,Invertebrate,0.99079730252612
Base,14,Invertebrate,0.922243808268689
Base,15,Invertebrate,0.984670505734212
Base,16,Invertebrate,0.940180323511746
Base,17,Invertebrate,0.943091193489129
Base,18,Invertebrate,0.97476858287911
Base,19,Invertebrate,0.953461543448047
Base,20,Invertebrate,0.922440376176575
Base,21,Invertebrate,0.940544666986207
Base,22,Invertebrate,0.918878802046878
Base,23,Invertebrate,0.934259869205151
Base,24,Invertebrate,0.968007065054617
Base,25,Invertebrate,0.956860146776468
Base,26,Invertebrate,0.982872759801251
Base,27,Invertebrate,0.962867650566579
Base,28,Invertebrate,0.951667539977747
Base,29,Invertebrate,0.935666388480167
Base,30,Invertebrate,0.969616993062957
Base,31,Invertebrate,0.970192278556932
Base,32,Invertebrate,0.998821990024353
Base,33,Invertebrate,0.962077749262749
Base,34,Invertebrate,0.972501452056176
Base,35,Invertebrate,0.989433434421792
Base,36,Invertebrate,0.959524003740498
Base,37,Invertebrate,0.973368411946883
Base,38,Invertebrate,0.950084991992031
Base,39,Invertebrate,0.947500217915888
Base,40,Invertebrate,0.921725070710092
Base,41,Invertebrate,0.931380837839149
Base,42,Invertebrate,0.969639012324719
Base,43,Invertebrate,0.922530547670229
Base,44,Invertebrate,0.926596480746723
Base,45,Invertebrate,0.933232431035601
Base,46,Invertebrate,0.953710460821921
Base,47,Invertebrate,0.921997633304354
Base,48,Invertebrate,0.95416224639599
Base,49,Invertebrate,0.93470209331081
Base,50,Invertebrate,0.967473669966646
Base,51,Invertebrate,0.966238337112753
Base,52,Invertebrate,0.963962369495383
Base,53,Invertebrate,0.951666792725947
Base,54,Invertebrate,0.949629994747365
Base,55,Invertebrate,0.997716086254372
Base,56,Invertebrate,0.956255569414344
Base,57,Invertebrate,0.968230558384517
Base,58,Invertebrate,0.984976895831698
Base,59,Invertebrate,0.969867698341679
Base,60,Invertebrate,0.967290122561838
Base,61,Invertebrate,0.969238558069704
Base,62,Invertebrate,0.970760144813733
Base,63,Invertebrate,0.968694609393004
Base,64,Invertebrate,0.960404549690291
Base,65,Invertebrate,0.985079440788876
Base,66,Invertebrate,0.960282191878572
Base,67,Invertebrate,0.942171017842291
Base,68,Invertebrate,0.976025014535099
Base,69,Invertebrate,0.964873317659247
Base,70,Invertebrate,0.971823583026318
Base,71,Invertebrate,0.964646924929276
Base,72,Invertebrate,0.962213800717365
Base,73,Invertebrate,0.973683503288579
Base,74,Invertebrate,0.954326772850351
Base,75,Invertebrate,0.979101241296527
Base,76,Invertebrate,0.997070378567844
Base,77,Invertebrate,0.945281113203417
Base,78,Invertebrate,0.965201010917899
Base,79,Invertebrate,0.941010362841653
Base,80,Invertebrate,0.943313973970143
Base,81,Invertebrate,0.954243383638169
Base,82,Invertebrate,0.975627303680066
Base,83,Invertebrate,0.971674674662958
Base,84,Invertebrate,0.956486244741595
Base,85,Invertebrate,0.988358590361477
Base,86,Invertebrate,0.976992184582933
Base,87,Invertebrate,0.922985547468974
Base,88,Invertebrate,0.98302101195768
Base,89,Invertebrate,0.956706383169138
Base,90,Invertebrate,0.944700893685356
Base,91,Invertebrate,0.94883886568028
Base,92,Invertebrate,0.953731760006798
Base,93,Invertebrate,0.982047358835148
Base,94,Invertebrate,0.946787749743637
Base,95,Invertebrate,1.00012664584688
Base,96,Invertebrate,0.969890685292283
Base,97,Invertebrate,0.965066981121493
Base,98,Invertebrate,0.966046005159502
Base,99,Invertebrate,0.941147742001373
Base,100,Invertebrate,1.0031683089799
Base,1,Mid-trophic species,0.597418077785272
Base,2,Mid-trophic species,0.602920806003998
Base,3,Mid-trophic species,0.599767784530584
Base,4,Mid-trophic species,0.598842933033509
Base,5,Mid-trophic species,0.596490928412993
Base,6,Mid-trophic species,0.597701534942849
Base,7,Mid-trophic species,0.595897094569443
Base,8,Mid-trophic species,0.598469987795479
Base,9,Mid-trophic species,0.59819984516929
Base,10,Mid-trophic species,0.595766615187954
Base,11,Mid-trophic species,0.600328658059136
Base,12,Mid-trophic species,0.598838170631169
Base,13,Mid-trophic species,0.595193938261873
Base,14,Mid-trophic species,0.598839270013154
Base,15,Mid-trophic species,0.596639924997898
Base,16,Mid-trophic species,0.596140706201694
Base,17,Mid-trophic species,0.598402564072007
Base,18,Mid-trophic species,0.596927779703042
Base,19,Mid-trophic species,0.598860053880476
Base,20,Mid-trophic species,0.595546939935459
Base,21,Mid-trophic species,0.59600128686013
Base,22,Mid-trophic species,0.595940252941849
Base,23,Mid-trophic species,0.598628034343831
Base,24,Mid-trophic species,0.593959462160215
Base,25,Mid-trophic species,0.598763870215983
Base,26,Mid-trophic species,0.600063685896854
Base,27,Mid-trophic species,0.601120790744076
Base,28,Mid-trophic species,0.596283787648371
Base,29,Mid-trophic species,0.600426930947618
Base,30,Mid-trophic species,0.599134221547082
Base,31,Mid-trophic species,0.596292135279019
Base,32,Mid-trophic species,0.597447717674562
Base,33,Mid-trophic species,0.597498434766401
Base,34,Mid-trophic species,0.59835065586118
Base,35,Mid-trophic species,0.598833987793528
Base,36,Mid-trophic species,0.600741221112381
Base,37,Mid-trophic species,0.597279386927033
Base,38,Mid-trophic species,0.601177652886139
Base,39,Mid-trophic species,0.597164608719263
Base,40,Mid-trophic species,0.595744735001372
Base,41,Mid-trophic species,0.599188356525797
Base,42,Mid-trophic species,0.592613844033324
Base,43,Mid-trophic species,0.593522137883483
Base,44,Mid-trophic species,0.595927838561857
Base,45,Mid-trophic species,0.602664667698332
Base,46,Mid-trophic species,0.595418822689722
Base,47,Mid-trophic species,0.595396349782955
Base,48,Mid-trophic species,0.592485981914543
Base,49,Mid-trophic species,0.596575696049959
Base,50,Mid-trophic species,0.597959924480454
Base,51,Mid-trophic species,0.594286042544297
Base,52,Mid-trophic species,0.59746611813564
Base,53,Mid-trophic species,0.596097398476226
Base,54,Mid-trophic species,0.595531808988871
Base,55,Mid-trophic species,0.595084219512952
Base,56,Mid-trophic species,0.594726257579389
Base,57,Mid-trophic species,0.601008585427985
Base,58,Mid-trophic species,0.598768708127461
Base,59,Mid-trophic species,0.59987656629505
Base,60,Mid-trophic species,0.599082834545782
Base,61,Mid-trophic species,0.597970346205761
Base,62,Mid-trophic species,0.602143596737502
Base,63,Mid-trophic species,0.600147639268306
Base,64,Mid-trophic species,0.597676456648729
Base,65,Mid-trophic species,0.594684711317587
Base,66,Mid-trophic species,0.597852490803238
Base,67,Mid-trophic species,0.597058912157874
Base,68,Mid-trophic species,0.597563346045036
Base,69,Mid-trophic species,0.598084842419182
Base,70,Mid-trophic species,0.599709362037913
Base,71,Mid-trophic species,0.602010766626553
Base,72,Mid-trophic species,0.597301195824263
Base,73,Mid-trophic species,0.600858228701988
Base,74,Mid-trophic species,0.594170229907884
Base,75,Mid-trophic species,0.598180590894768
Base,76,Mid-trophic species,0.592447815821766
Base,77,Mid-trophic species,0.598302290235342
Base,78,Mid-trophic species,0.598130170794429
Base,79,Mid-trophic species,0.596353050863544
Base,80,Mid-trophic species,0.598395983647146
Base,81,Mid-trophic species,0.598502941624268
Base,82,Mid-trophic species,0.600052323402223
Base,83,Mid-trophic species,0.599920668864975
Base,84,Mid-trophic species,0.599738850974291
Base,85,Mid-trophic species,0.597466125785041
Base,86,Mid-trophic species,0.606666197878917
Base,87,Mid-trophic species,0.60026333686895
Base,88,Mid-trophic species,0.598776925216139
Base,89,Mid-trophic species,0.59931157941249
Base,90,Mid-trophic species,0.594419826603211
Base,91,Mid-trophic species,0.601823682966359
Base,92,Mid-trophic species,0.599289892707385
Base,93,Mid-trophic species,0.602928938366169
Base,94,Mid-trophic species,0.603536767064472
Base,95,Mid-trophic species,0.587777270196629
Base,96,Mid-trophic species,0.600329462658097
Base,97,Mid-trophic species,0.603443477605182
Base,98,Mid-trophic species,0.592637651208527
Base,99,Mid-trophic species,0.604359593002333
Base,100,Mid-trophic species,0.598640706749206
SSP1-2.6,1,Prey,0.680228179382716
SSP1-2.6,2,Prey,0.675311201604938
SSP1-2.6,3,Prey,0.670910015061728
SSP1-2.6,4,Prey,0.673772471358025
SSP1-2.6,5,Prey,0.681215305185185
SSP1-2.6,6,Prey,0.683889135802469
SSP1-2.6,7,Prey,0.676993707654321
SSP1-2.6,8,Prey,0.67523644308642
SSP1-2.6,9,Prey,0.681978176296296
SSP1-2.6,10,Prey,0.675843005925926
SSP1-2.6,11,Prey,0.678328545432099
SSP1-2.6,12,Prey,0.678301587777778
SSP1-2.6,13,Prey,0.663275797654321
SSP1-2.6,14,Prey,0.681589560864198
SSP1-2.6,15,Prey,0.690414879012346
SSP1-2.6,16,Prey,0.683371278395062
SSP1-2.6,17,Prey,0.683518268395062
SSP1-2.6,18,Prey,0.681729610246914
SSP1-2.6,19,Prey,0.684277971111111
SSP1-2.6,20,Prey,0.669672501728395
SSP1-2.6,21,Prey,0.694672156666667
SSP1-2.6,22,Prey,0.664959949259259
SSP1-2.6,23,Prey,0.671792187407407
SSP1-2.6,24,Prey,0.685402069753086
SSP1-2.6,25,Prey,0.671999055679012
SSP1-2.6,26,Prey,0.678275472469136
SSP1-2.6,27,Prey,0.686910165061728
SSP1-2.6,28,Prey,0.68477062691358
SSP1-2.6,29,Prey,0.681672135432099
