run,group,scenario,age_future,age_base,log2_response,paired_change_years
1,Prey,SSP1-2.6,0.680228179382716,0.729058404666667,-0.100015620182449,-0.0488302252839511
1,Prey,SSP5-8.5,0.660274862222222,0.729058404666667,-0.142967671919128,-0.0687835424444451
1,Predator,SSP1-2.6,0.739496289314723,0.746989685403423,-0.0145454139963736,-0.00749339608870003
1,Predator,SSP5-8.5,0.740776746080751,0.746989685403423,-0.0120495108177059,-0.00621293932267253
1,Invertebrate,SSP1-2.6,0.979341918245556,0.916103248065988,0.0963024324788006,0.0632386701795688
1,Invertebrate,SSP5-8.5,0.954383234095668,0.916103248065988,0.0590584947447382,0.0382799860296804
1,Mid-trophic species,SSP1-2.6,0.597595075335013,0.597418077785272,0.000427365152361915,0.000176997549741542
1,Mid-trophic species,SSP5-8.5,0.597583952289349,0.597418077785272,0.000400511999070056,0.000165874504077124
2,Prey,SSP1-2.6,0.675311201604938,0.71105457,-0.0744077958017246,-0.0357433683950621
2,Prey,SSP5-8.5,0.648170787777778,0.71105457,-0.133586282247511,-0.062883782222222
2,Predator,SSP1-2.6,0.751165512634145,0.759597494257762,-0.0161043185907552,-0.0084319816236168
2,Predator,SSP5-8.5,0.752917974816759,0.759597494257762,-0.0127424445121225,-0.0066795194410032
2,Invertebrate,SSP1-2.6,0.959203476154952,0.96605341674859,-0.0102660762432215,-0.00684994059363764
2,Invertebrate,SSP5-8.5,0.928322475902972,0.96605341674859,-0.0574769149086314,-0.0377309408456176
2,Mid-trophic species,SSP1-2.6,0.59778030881843,0.602920806003998,-0.0123531410386262,-0.00514049718556786
2,Mid-trophic species,SSP5-8.5,0.597374176026505,0.602920806003998,-0.0133336432161028,-0.00554662997749278
3,Prey,SSP1-2.6,0.670910015061728,0.698822408666667,-0.0588065911310586,-0.027912393604939
3,Prey,SSP5-8.5,0.649584755802469,0.698822408666667,-0.105408094599805,-0.049237652864198
3,Predator,SSP1-2.6,0.759793883445651,0.762863423790818,-0.00581669507854821,-0.00306954034516682
3,Predator,SSP5-8.5,0.751407702130408,0.762863423790818,-0.0218288889611463,-0.01145572166041
3,Invertebrate,SSP1-2.6,0.955969740493261,0.940955562676447,0.0228383607855667,0.0150141778168137
3,Invertebrate,SSP5-8.5,0.936897784228641,0.940955562676447,-0.00623493412300377,-0.00405777844780619
3,Mid-trophic species,SSP1-2.6,0.596589012174984,0.599767784530584,-0.00766662573977428,-0.00317877235560016
3,Mid-trophic species,SSP5-8.5,0.594128931448644,0.599767784530584,-0.0136279893574228,-0.00563885308194034
4,Prey,SSP1-2.6,0.673772471358025,0.738199130666667,-0.13174855382105,-0.064426659308642
4,Prey,SSP5-8.5,0.67600657345679,0.738199130666667,-0.126972763332331,-0.0621925572098769
4,Predator,SSP1-2.6,0.752229550406443,0.750867899857062,0.00261386516495566,0.00136165054938076
4,Predator,SSP5-8.5,0.749505916622621,0.750867899857062,-0.00261924991790988,-0.00136198323444148
4,Invertebrate,SSP1-2.6,0.958311565756391,0.977211971251231,-0.0281767568394628,-0.01890040549484
4,Invertebrate,SSP5-8.5,0.978443977861785,0.977211971251231,0.00181771242873811,0.00123200661055445
4,Mid-trophic species,SSP1-2.6,0.596253379532036,0.598842933033509,-0.00625211843142865,-0.00258955350147372
4,Mid-trophic species,SSP5-8.5,0.597944608292746,0.598842933033509,-0.00216581280679147,-0.000898324740763346
5,Prey,SSP1-2.6,0.681215305185185,0.691157709333333,-0.0209040952610995,-0.00994240414814795
