record_type,scenario,functional_group,point_index,somatic_log2,gonad_log2,confidence_level,bootstrap_replicates
ellipse,SSP5-8.5,Mid-trophic species,77,0.56882672,-0.06214995,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,78,0.57270103,-0.06046445,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,79,0.57631399,-0.05873684,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,80,0.57966119,-0.05696922,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,81,0.58273854,-0.05516375,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,82,0.58554231,-0.05332263,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,83,0.58806907,-0.0514481,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,84,0.59031575,-0.04954244,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,85,0.5922796,-0.04760797,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,86,0.59395825,-0.04564706,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,87,0.59534963,-0.04366208,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,88,0.59645206,-0.04165547,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,89,0.5972642,-0.03962966,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,90,0.59778504,-0.03758712,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,91,0.59801397,-0.03553035,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,92,0.5979507,-0.03346184,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,93,0.5975953,-0.03138411,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,94,0.59694821,-0.02929971,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,95,0.59601023,-0.02721116,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,96,0.59478248,-0.02512102,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,97,0.59326647,-0.02303182,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,98,0.59146405,-0.02094612,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,99,0.5893774,-0.01886645,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,100,0.58700908,-0.01679535,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,101,0.58436197,-0.01473534,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,102,0.58143929,-0.01268894,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,103,0.5782446,-0.01065863,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,104,0.5747818,-0.00864689,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,105,0.5710551,-0.00665617,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,106,0.56706905,-0.0046889,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,107,0.5628285,-0.00274746,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,108,0.55833862,-0.00083424,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,109,0.55360488,0.00104845,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,110,0.54863304,0.0028983,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,111,0.54342917,0.00471307,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,112,0.5379996,0.00649054,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,113,0.53235094,0.00822855,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,114,0.52649009,0.00992498,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,115,0.52042418,0.01157776,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,116,0.5141606,0.01318489,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,117,0.50770699,0.01474439,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,118,0.5010712,0.01625437,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,119,0.49426131,0.017713,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,120,0.48728564,0.01911849,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,121,0.48015267,0.02046914,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,122,0.4728711,0.02176329,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,123,0.46544979,0.02299936,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,124,0.45789779,0.02417587,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,125,0.45022431,0.02529136,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,126,0.44243868,0.02634449,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,127,0.4345504,0.02733396,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,128,0.42656907,0.02825858,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,129,0.41850442,0.02911722,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,130,0.41036628,0.02990882,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,131,0.40216455,0.03063243,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,132,0.39390924,0.03128716,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,133,0.3856104,0.03187223,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,134,0.37727814,0.0323869,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,135,0.36892262,0.03283056,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,136,0.360554,0.03320267,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,137,0.3521825,0.03350277,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,138,0.3438183,0.0337305,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,139,0.3354716,0.03388558,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,140,0.32715257,0.03396782,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,141,0.31887134,0.03397711,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,142,0.310638,0.03391346,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,143,0.30246259,0.03377694,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,144,0.29435506,0.03356771,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,145,0.28632529,0.03328602,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,146,0.27838307,0.03293223,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,147,0.27053807,0.03250676,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,148,0.26279985,0.03201013,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,149,0.25517783,0.03144295,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,150,0.24768131,0.0308059,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,151,0.24031941,0.03009977,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,152,0.23310111,0.02932541,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,153,0.22603521,0.02848377,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,154,0.21913029,0.02757586,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,155,0.2123948,0.02660281,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,156,0.20583691,0.02556579,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,157,0.19946464,0.02446607,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,158,0.19328574,0.02330498,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,159,0.18730773,0.02208395,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,160,0.18153791,0.02080446,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,161,0.1759833,0.01946806,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,162,0.17065067,0.01807639,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,163,0.16554652,0.01663114,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,164,0.16067706,0.01513408,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,165,0.15604823,0.01358702,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,166,0.15166567,0.01199185,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,167,0.14753471,0.01035052,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,168,0.14366039,0.00866502,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,169,0.14004744,0.00693741,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,170,0.13670024,0.0051698,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,171,0.13362289,0.00336433,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,172,0.13081912,0.00152321,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,173,0.12829236,-0.00035133,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,174,0.12604568,-0.00225699,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,175,0.12408183,-0.00419145,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,176,0.12240318,-0.00615237,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,177,0.1210118,-0.00813734,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,178,0.11990937,-0.01014395,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,179,0.11909723,-0.01216976,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,180,0.11857639,-0.0142123,0.95,5000
ellipse,SSP5-8.5,Mid-trophic species,181,0.11834746,-0.01626908,0.95,5000
