scenario,variable,mean,sd,q025,q975
Base,total_biomass,7630672.78793891,95424.7835887866,7453435.69411867,7844466.93997453
SSP1-2.6,total_biomass,7416080.14543666,55510.3287620417,7310172.02481179,7531333.66903383
SSP5-8.5,total_biomass,7478175.19224425,56609.4806542171,7373962.65893466,7582726.44055681
Base,biomass_stability,22.4139354415226,3.06015382962828,16.8553225603408,28.2094274841243
SSP1-2.6,biomass_stability,21.5230796543411,2.14139665034365,18.0987433977879,25.9579253098865
SSP5-8.5,biomass_stability,20.7943358746581,1.97905474933751,17.5164882237213,24.4844409994668
Base,community_mean_tl,2.61750153244977,0.00333674288031719,2.61104043098023,2.62324478324232
SSP1-2.6,community_mean_tl,2.63568336916569,0.002095857938289,2.63218197050611,2.64002724280516
SSP5-8.5,community_mean_tl,2.64773185125969,0.00234840841542764,2.64389466831,2.65256439137003
Base,predator_biomass_proportion,0.332985414293442,0.00623014074794318,0.319302457466123,0.344746132896183
SSP1-2.6,predator_biomass_proportion,0.336335326940778,0.00392230317126334,0.329316428118806,0.343477981216556
SSP5-8.5,predator_biomass_proportion,0.337894847130019,0.00420407506883105,0.330070610739275,0.345127448885884
Base,biomass_yield_ratio,5.24656963298266,0.0249283899372163,5.20199819314931,5.30103901920754
SSP1-2.6,biomass_yield_ratio,5.14152152219939,0.0131221421497474,5.11761120319219,5.16633143730489
SSP5-8.5,biomass_yield_ratio,5.11735858765983,0.0157405974490786,5.08785303085563,5.14571206932782
Base,mean_ingestion,49.2509683271335,0.35182825342892,48.5390298493605,49.9360355632611
SSP1-2.6,mean_ingestion,48.9637961933288,0.207483417314025,48.5459487472402,49.3402558053098
SSP5-8.5,mean_ingestion,48.8893224338378,0.268666287857131,48.4272507147315,49.4925934063938
Base,mean_maintenance,0.473092335053758,0.00692526236044594,0.461271418436665,0.488213254963372
SSP1-2.6,mean_maintenance,0.59374817158708,0.00666771754966878,0.581553093181891,0.606464324080503
SSP5-8.5,mean_maintenance,0.708542062489328,0.00690714339909511,0.696573556564387,0.721434014894154
Base,mean_net_energy,37.0748083409155,0.380717246868854,36.2786346667233,37.787367210485
SSP1-2.6,mean_net_energy,39.5870831091496,0.245440596255384,39.0715629222208,40.0614797423888
SSP5-8.5,mean_net_energy,40.8642322083558,0.253363623665309,40.4216311997834,41.3787591339127
Base,mean_metabolic_burden,0.0304118531133017,0.000670349404518804,0.0292074398434865,0.0317022233754756
SSP1-2.6,mean_metabolic_burden,0.0387779371191585,0.000627919604253079,0.0375307893267492,0.040022491028632
SSP5-8.5,mean_metabolic_burden,0.0451458689200731,0.000755012064592316,0.0437958189723701,0.0465378612457745
Base,mean_species_length,17.8473260153817,0.115436352537064,17.6539869185232,18.0644717323738
SSP1-2.6,mean_species_length,18.4890277592331,0.0614058588047183,18.3842247480655,18.6159289403161
SSP5-8.5,mean_species_length,18.5417650183432,0.0556424412610286,18.4458496223018,18.6529914177405
Base,mean_maturation_age,0.748188477222143,0.00615915799102669,0.736923375335119,0.758185170142262
SSP1-2.6,mean_maturation_age,0.741491239538448,0.00270907066363897,0.736059607729939,0.745938907740079
SSP5-8.5,mean_maturation_age,0.736841569779277,0.00366039287911522,0.7299018570959,0.744928308988536
Base,gonadal_allocation_bias,5.77376722949104,0.08170209684436,5.64752278128091,5.92683271770664
SSP1-2.6,gonadal_allocation_bias,5.63288896016369,0.0360416466182877,5.56290731005081,5.69189183594812
SSP5-8.5,gonadal_allocation_bias,5.51887568443448,0.0360517545041532,5.46046958409463,5.60222235222085
