comparison,n_pairs,dimensions,mean_shift_PC1,mean_shift_PC2,hotelling_T2,F_statistic,df1,df2,p_value
SSP1-2.6 vs Base,100,PC1-PC2,-2.95611581172451,0.552185909100419,1718.53771194627,850.589372579469,2,98,1.17878995866469e-62
SSP5-8.5 vs Base,100,PC1-PC2,-3.6046150334495,0.124339773040958,2306.25300157813,1141.47875835685,2,98,1.28601796699539e-68
