scenario,component,mean_shift,ci_low,ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr
SSP1-2.6,PC1,-2.95611581172451,-3.117521915229,-2.79470970822003,-36.3404789355651,99,4.67375689879062e-59,-3.63404789355651,2.33687844939531e-58
SSP1-2.6,PC2,0.552185909100419,0.248919193540505,0.855452624660332,3.61284831156405,99,0.000477909821935466,0.361284831156405,0.000955819643870933
SSP1-2.6,PC3,-0.150272641607768,-0.436218555886751,0.135673272671215,-1.04276196283361,99,0.299598246433996,-0.104276196283361,0.421828501374503
SSP1-2.6,PC4,-0.324018981967446,-0.478885270131454,-0.169152693803438,-4.15147779595972,99,7.00405064041056e-05,-0.415147779595972,0.000175101266010264
SSP1-2.6,PC5,-0.0453655467678545,-0.11395929521606,0.0232282016803508,-1.31229286853645,99,0.192455796937616,-0.131229286853645,0.320759661562694
SSP5-8.5,PC1,-3.6046150334495,-3.76548058118505,-3.44374948571396,-44.4615913972567,99,3.13572904201634e-67,-4.44615913972567,3.13572904201634e-66
SSP5-8.5,PC2,0.124339773040958,-0.155227129895559,0.403906675977475,0.882497473172997,99,0.379645651237053,0.0882497473172997,0.421828501374503
SSP5-8.5,PC3,0.054378893699432,-0.235467202971154,0.344224990370018,0.372264881005309,99,0.710491342227971,0.0372264881005309,0.710491342227971
SSP5-8.5,PC4,0.61744117086106,0.463729405120845,0.771152936601275,7.97035433123876,99,2.77800940199033e-12,0.797035433123876,9.26003133996775e-12
SSP5-8.5,PC5,0.033193631532389,-0.039502791143076,0.105890054207854,0.906005604502854,99,0.367132673227436,0.0906005604502854,0.421828501374503
