run,species,scenario,gonad_future,somatic_future,enet_future,mbi_future,latin,short_label,group,species_order,gonad_base,somatic_base,enet_base,mbi_base,gonad_response,somatic_response,enet_response,mbi_response,joint_tissue_response,allocation_bias
1,DecapterusMaruadsi,SSP1-2.6,0.660037879300412,0.0530799212139918,38.9432067119342,0.0115551744003035,Decapterus maruadsi,D. maruadsi,Mid-trophic species,10,0.629216648777778,0.0471743796288889,35.9042307666667,0.010727132663571,0.0689919782240165,0.170162683677749,0.117217831512918,0.107274535569289,0.119577330950883,-0.101170705453733
1,DecapterusMaruadsi,SSP5-8.5,0.650396407283951,0.055493730644856,39.5619981316872,0.0130622228037137,Decapterus maruadsi,D. maruadsi,Mid-trophic species,10,0.629216648777778,0.0471743796288889,35.9042307666667,0.010727132663571,0.0477624438574375,0.234321247818514,0.139961439482859,0.284135923017297,0.141041845837976,-0.186558803961077
1,EngraulisJaponicus,SSP1-2.6,0.732506622674897,0.000399215674361317,16.8931582115226,0.0538607643679557,Engraulis japonicus,E. japonicus,Prey,1,0.679048166333333,0.000370574431296667,15.5518822788889,0.0445498677838161,0.1093278916294,0.107405023693317,0.119349864720102,0.273813553981673,0.108366457661358,0.00192286793608279
1,EngraulisJaponicus,SSP5-8.5,0.774471938806584,0.000535361600325514,18.6539822230453,0.0592735794798691,Engraulis japonicus,E. japonicus,Prey,1,0.679048166333333,0.000370574431296667,15.5518822788889,0.0445498677838161,0.189699055722167,0.530750320588974,0.262394444135543,0.411968033145945,0.36022468815557,-0.341051264866807
1,LarimichthysPolyactis,SSP1-2.6,0.254751547785802,0.155424262146244,37.231448348642,0.00629101662099452,Larimichthys polyactis,L. polyactis,Mid-trophic species,13,0.246663035934713,0.135756611158442,34.0591035516667,0.00500471120485436,0.0465493771827032,0.19518927292427,0.128481276629997,0.330006352550467,0.120869325053487,-0.148639895741567
1,LarimichthysPolyactis,SSP5-8.5,0.248726589079012,0.205858109269452,40.9439001844445,0.00777159266183512,Larimichthys polyactis,L. polyactis,Mid-trophic species,13,0.246663035934713,0.135756611158442,34.0591035516667,0.00500471120485436,0.0120192065262935,0.600627824184717,0.265608072160113,0.634923464635499,0.306323515355505,-0.588608617658424
1,MiichthysMiiuy,SSP1-2.6,0.60728251967284,0.150748315688272,117.965291012346,0.00569710713691211,Miichthys miiuy,M. miiuy,Predator,5,0.476199990416667,0.132688877266667,119.79220295,0.00372068262884852,0.350800250947401,0.184094442070284,-0.0221715717394895,0.614662202038207,0.267447346508842,0.166705808877117
1,MiichthysMiiuy,SSP5-8.5,0.600440424475309,0.172729606753086,119.507641722222,0.00712393559690732,Miichthys miiuy,M. miiuy,Predator,5,0.476199990416667,0.132688877266667,119.79220295,0.00372068262884852,0.334453517673851,0.380467948590939,-0.00343113691706414,0.937107138967614,0.357460733132395,-0.0460144309170883
1,MuraenesoxCinereus,SSP1-2.6,0.227080238276543,0.318875870378272,34.1771517160494,0.000639067307822117,Muraenesox cinereus,M. cinereus,Predator,4,0.224735775126667,0.255935326201333,30.0353486133333,0.000438190501503027,0.0149723587350797,0.317215638491165,0.186370760513549,0.54440967475686,0.166093998613122,-0.302243279756085
1,MuraenesoxCinereus,SSP5-8.5,0.221949673960494,0.345774127903951,34.7348411382716,0.000802920210188071,Muraenesox cinereus,M. cinereus,Predator,4,0.224735775126667,0.255935326201333,30.0353486133333,0.000438190501503027,-0.0179972124437625,0.434050632044604,0.209722090111387,0.87369841584724,0.208026709800421,-0.452047844488366
