species,scenario,metric,estimate,lo,hi,latin,group,species_order,pct,pct_lo,pct_hi
DecapterusMaruadsi,SSP5-8.5,max_realized_size,0.0235459495323365,0.0215681605599253,0.0254826614119113,Decapterus maruadsi,Mid-trophic species,10,2.38253439615634,2.18024345899341,2.58101200171226
DecapterusMaruadsi,SSP5-8.5,reproductive_allocation,-0.038466819386934,-0.0463194379106976,-0.030084357878949,Decapterus maruadsi,Mid-trophic species,10,-3.77363672926159,-4.52630656969868,-2.96363277254672
DecapterusMaruadsi,SSP5-8.5,egg_production,-0.111725273563786,-0.138154976251959,-0.0847436925305242,Decapterus maruadsi,Mid-trophic species,10,-10.571009116505,-12.9036297404209,-8.12522638665154
DecapterusMaruadsi,SSP5-8.5,eggs_per_biomass,0.0305393582809286,0.0223710772980402,0.0385120578092989,Decapterus maruadsi,Mid-trophic species,10,3.10104680498773,2.26231863212711,3.92632595206293
DecapterusMaruadsi,SSP5-8.5,mean_size,0.035481924592787,0.0319260695024875,0.03896857423061,Decapterus maruadsi,Mid-trophic species,10,3.61189196874088,3.24411735939163,3.97378085761424
DecapterusMaruadsi,SSP5-8.5,biomass,-0.142095720296606,-0.168971523774979,-0.115852525131836,Decapterus maruadsi,Mid-trophic species,10,-13.2461788503489,-15.5467047845993,-10.9393444302492
DecapterusMaruadsi,SSP5-8.5,abundance,-0.231556499564425,-0.264689622895549,-0.198507269696711,Decapterus maruadsi,Mid-trophic species,10,-20.6702126747381,-23.2555889905061,-18.0046190096777
DecapterusMaruadsi,SSP5-8.5,yield,-0.137922790120401,-0.165546477631278,-0.112550719092665,Decapterus maruadsi,Mid-trophic species,10,-12.8834048232557,-15.2569524271573,-10.64479741888
DecapterusMaruadsi,SSP5-8.5,mean_tl,0.00310825349748383,0.00243521347351824,0.00381824995434026,Decapterus maruadsi,Mid-trophic species,10,0.311308912620811,0.243818101422511,0.382554875729202
EngraulisJaponicus,SSP1-2.6,ingestion,-0.101574742493134,-0.106244204675526,-0.0968446372760775,Engraulis japonicus,Prey,1,-9.65863465700644,-10.0794968811592,-9.2302982539834
EngraulisJaponicus,SSP1-2.6,maintenance,0.211036098680117,0.208029713046829,0.214239073177315,Engraulis japonicus,Prey,1,23.4956934572098,23.1249753186934,23.8918811647197
EngraulisJaponicus,SSP1-2.6,enet,-0.0672584781928793,-0.0715673008250353,-0.0631966177400328,Engraulis japonicus,Prey,1,-6.50464949908937,-6.90663771143447,-6.12411211067816
EngraulisJaponicus,SSP1-2.6,mbi,0.312250005890382,0.306084794120985,0.317892606943969,Engraulis japonicus,Prey,1,36.6496282447815,35.8097460346003,37.4228670685972
EngraulisJaponicus,SSP1-2.6,age_mature,-0.0468240478833557,-0.051437687094037,-0.0420883126218253,Engraulis japonicus,Prey,1,-4.57447139428268,-5.01371631682433,-4.12148959927672
EngraulisJaponicus,SSP1-2.6,ingestion_age_standardized,0.0527638432317488,0.0473328636577909,0.0580889608078311,Engraulis japonicus,Prey,1,5.41806638224827,4.84709488768758,5.98092730058066
EngraulisJaponicus,SSP1-2.6,maintenance_age_standardized,0.243252796163937,0.236661535141782,0.249826739326742,Engraulis japonicus,Prey,1,27.5390997321031,26.7012206086918,28.3802964851199
EngraulisJaponicus,SSP1-2.6,enet_age_standardized,0.0774279503043258,0.0716407680771847,0.0831177967605511,Engraulis japonicus,Prey,1,8.05043796422298,7.42693628907321,8.66698071922532
EngraulisJaponicus,SSP1-2.6,mbi_age_standardized,0.190137602183908,0.179752307889018,0.199656228212695,Engraulis japonicus,Prey,1,20.9416004491488,19.6920858548272,22.0982946514813
EngraulisJaponicus,SSP1-2.6,length_age1,0.035770625332455,0.0314797483586807,0.0402620866976624,Engraulis japonicus,Prey,1,3.64180911693426,3.19804760855718,4.10835926005639
EngraulisJaponicus,SSP1-2.6,age_standardized_size,0.0760521261895559,0.0690369460083924,0.0835217276019947,Engraulis japonicus,Prey,1,7.90188178308195,7.14757951707896,8.71088353043716
EngraulisJaponicus,SSP1-2.6,max_realized_size,-0.00461608975475525,-0.00538975416267211,-0.00380519623525832,Engraulis japonicus,Prey,1,-0.460545198703466,-0.537525549748064,-0.379796565023638
EngraulisJaponicus,SSP1-2.6,reproductive_allocation,0.0291387019047877,0.0183758154309547,0.0399775570459922,Engraulis japonicus,Prey,1,2.95673875298252,1.85456896578191,4.07874155861712
EngraulisJaponicus,SSP1-2.6,egg_production,-0.158821827441795,-0.168563630313697,-0.149267024135412,Engraulis japonicus,Prey,1,-14.6851646947266,-15.5122498111958,-13.8660914136026
