scenario,run,species,latin,group,species_order,ingestion,maintenance,enet,mbi,ingestion_age_standardized,maintenance_age_standardized,enet_age_standardized,mbi_age_standardized,abundance,age_mature,biomass,max_realized_size,mean_size,mean_tl,yield,length_age1,age_standardized_size,reproductive_allocation,egg_production,eggs_per_biomass
Base,1,EngraulisJaponicus,Engraulis japonicus,Prey,1,5.18786773951043,0.930854231372298,1.66212736762196,0.179429059897379,26.3932952377778,1.17581781322222,15.5518822788889,0.0445498677838161,539709275466.667,0.729058404666667,1050694.053,93.6618383,5.52832702666667,2.32749518333333,165368.8017,9.27882355666667,19.2383680084748,0.0509529154723542,15909203901266700,15148301089.9395
Base,1,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,4.35619366570385,1.09795236007995,1.80855460646165,0.252043973325632,103.125414716667,1.08019233116667,73.93215965,0.0104745501788716,477724389.2,0.658587692333333,93431.1619666667,238.434605,34.9378578333333,3.09056775666667,35802.4001333333,77.8693599666667,125.132903120034,0.00988236874586109,526664214131400,5640141966.76287
Base,1,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,13.8328868890407,0.530487160028271,1.30987730326319,0.0383497070628516,4.94069904571429,0.669774977233333,1.4268679593381,0.135562796081319,196463095766.667,1.17776348333333,1633100.31333333,47.6146005666667,6.03843107,2.78897464333333,238687.244666667,9.53961207333333,19.6729488886079,0.000524512497365348,474159392843196,293905620.790562
Base,1,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,48.7757713852065,0.0227118330288203,6.09320460044293,0.000465637598008521,57.5905281533333,0.0252356224133333,30.0353486133333,0.000438190501503027,1149709306,0.689140183666667,725178.203666667,887.503459,52.407361,3.10841316666667,129332.956,96.1393171666667,274.10639446419,0.0667021646104297,4409325326470180,6101809004.61552
Base,1,MiichthysMiiuy,Miichthys miiuy,Predator,5,22.2313712060463,0.419511071329832,1.58175548249481,0.0188702292558426,101.423337366667,0.3773640495,119.79220295,0.00372068262884852,149503914.933333,0.582477495333333,68086.2997333333,390.187015666667,23.5208892,3.00220581,25255.9687666667,89.9109967,140.450256434493,0.0037006009580091,1044701781385910,15524408167.7782
Base,1,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,41.0811691007052,0.450719238488198,0.782758412748741,0.0109714316402077,15.8637138833333,0.653057827,3.20899216866667,0.0411667678705497,430404844433.333,1.011919051,836205.747666667,78.1694313666667,1.82056468,2.42397870333333,142064.411533333,7.13883874666667,7.13883874666667,0.000571997966952645,39077727388333300,48467530555.5699
Base,1,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,10.7033857838141,0.189724882854492,0.2886326247124,0.0177256885518784,29.42234786,0.17574032545,8.501833932,0.00597302180934788,5736436680733.33,0.785826317,242938.489333333,121.6708473,0.737240682666667,2.27370209,81635.9180333333,4.98078275,9.7751247546587,0.00114147500515055,7349229436933330,31535465932.2717
Base,1,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,10.6612970435574,0.122372064377966,0.464148569527379,0.0114781591656257,7.66989007,0.1188547551,0.512883892,0.0154962788273705,42016942416666.7,0.966854065,447298.150666667,19.3635076,0.378820148,2.13543704,96594.3952333333,0.623645161,0.623645161,2.62328285427464e-05,1854737440166670,4338695495.89736
Base,1,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,5.98333284451492,0.746630889505377,2.40406971920609,0.12478511707565,7.19187999766667,1.09553259163333,3.77396840133333,0.152329097814308,31975322796.6667,0.800079604,1272057.66066667,49.2075987666667,13.5313792,2.53805791333333,229312.2,25.1190611,30.4877511496233,0.00536723598744053,1028438033117520,818219465.478316
Base,1,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,4.14259872977012,0.345396432713816,3.47260038764696,0.08337675339677,38.8400906333333,0.416642804888889,35.9042307666667,0.010727132663571,262072523.733333,0.538637438,57539.0067666667,242.437470666667,28.5840537,2.70354036333333,13020.4602833333,50.7724330333333,107.995683944221,0.0417297754236447,112347974057578,1987657958.98613
Base,1,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,16.2451664020001,0.0658649794037272,4.81439360396991,0.00405443550246539,35.5520077666667,0.0945881615190476,33.0468897357143,0.00266055751730941,2052218410.66667,0.603595326666667,576177.771666667,679.971115,17.8171998,2.88714232,98544.9827666667,30.1982135,183.217810302533,0.0769663236115768,4567405312421930,8060966720.37758
Base,1,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,25.4742767718341,0.0927042183468496,5.84786279373245,0.00363913053065942,105.180268433333,0.12705863615,82.9953955333333,0.00120800828941156,5317144.5,0.436767465666667,6553.14161666667,291.869376333333,33.4092328666667,2.82008635,3987.75057,52.8735099,91.2470238736827,0.117778755375384,10992853619690,1745921763.5156
Base,1,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,16.8341186227804,0.168838368645166,1.53960030103979,0.0100295342113539,39.22780705,0.196323845485,34.0591035516667,0.00500471120485436,99845258766.6667,0.850588999333333,593987.417,433.558949666667,5.00341201666667,2.60634763333333,186205.379666667,15.0716596,88.8691432567289,0.00230540453825092,922937276984218,1568218840.17142
Base,1,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,3.64487375381123,0.421509955601072,1.59848326660975,0.115644596787564,114.311873233333,0.545158486666667,78.5759342666667,0.00476904516780938,88921505.8666667,0.470461961333333,12967.9038333333,97.4868763666667,26.3538268,2.67681683,2709.43943,30.3219213,50.4444281005383,0.0322135151341013,137527753993516,11354443486.5839
Base,2,EngraulisJaponicus,Engraulis japonicus,Prey,1,5.02652257817244,0.942931794286515,1.62439487004934,0.18759127799031,28.1191591377778,1.16010474833333,16.6844178466667,0.0412567368266267,493189110266.667,0.71105457,998781.577,93.1394829,5.48361646,2.33347561,156524.6556,9.37777500666667,20.1114713039994,0.052405909740431,17232961297433300,17385097409.1158
Base,2,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,4.25722368619862,1.10011683243151,1.82358531288518,0.258411799219746,103.157702383333,1.04938324383333,74.0627208,0.0101726116381871,483735126.666667,0.66251538,93764.2349,239.045277,34.7492901666667,3.08600794666667,35906.3281666667,77.7147979666667,125.135171686668,0.0100705433646175,518191042859083,5542014925.68783
Base,2,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,14.1838934053557,0.528636048778409,1.35084606843523,0.0372701650858995,5.02014252666667,0.686436690047619,1.4227472902381,0.136736494312923,202789343600,1.27523592466667,1620807.32666667,46.6861514333333,5.98017666,2.78503295,237782.837666667,9.23829829333333,20.4406372979426,0.000503993705920812,467605862935697,289547338.866193
Base,2,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,49.1101263254444,0.0225773228067929,6.10097640265578,0.000459728461237849,57.6655127333333,0.0260179952433333,30.70988992,0.000451188136723074,1084843198,0.687976837333333,712120.497333333,873.861548,51.5154598333333,3.12125116,127955.498333333,97.7821078333333,278.589307954709,0.0632636073743655,4416367836241580,6266462115.41422
Base,2,MiichthysMiiuy,Miichthys miiuy,Predator,5,22.4317602093107,0.442247415386025,1.45132011122179,0.0197152346164285,103.940859783333,0.388689196666667,122.41664945,0.00373952262350818,99599093.2666667,0.572761441666667,56603.2553666667,393.141081,24.8379892666667,3.01962162333333,20887.7504,96.9460771,146.034792305063,0.00433861860249704,852181788697837,15319513140.689
Base,2,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,41.6797779729583,0.4145188441337,0.797955098996879,0.0099453227510626,15.4548356166667,0.4558506975,3.237582968,0.0294956678159945,420581677900,1.001963651,843224.138666667,79.2873352666667,1.80277859,2.43250478333333,142749.435,7.10012238666667,7.10012238666667,0.000862980266928162,4.1372170014e+16,50122540655.8249
Base,2,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,8.6505374972101,0.200598869682969,0.264861841725032,0.023189179833931,28.277457195,0.181501522216667,7.36522010716667,0.00641859418140184,5483385493100,0.898908196666667,245750.806666667,120.897966233333,0.784564038666667,2.27338496333333,82346.4104,4.25400283,9.17453403082054,0.000668951185611674,7906088580500000,33670694947.153
Base,2,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,9.32893711848895,0.126595030953009,0.433811539633179,0.0135701451671393,7.31744935,0.1263277031,0.540054843,0.0172638985331685,46105428713333.3,1.00100469733333,458625.535333333,19.2377326,0.355302997,2.14567494666667,100108.4827,0.622318756666667,0.622318756666667,2.41532380069928e-05,2229754234600000,5018701068.20006
Base,2,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,6.00817914686901,0.742673326980236,2.45743640737848,0.123610383250183,7.05862829866667,1.060290097,3.67094009276667,0.150211918256169,32203351566.6667,0.804651471333333,1342767.06166667,49.2605018666667,13.7421419666667,2.53708523,241720.879,25.1367241,30.5985064893571,0.00516347003951641,1010768713807110,759109921.97502
Base,2,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,4.24294393918426,0.338547332762663,3.56659785793541,0.0797906683696961,39.1802626666667,0.414729363666667,36.2091635,0.0105851603700326,256500425.333333,0.547343033333333,56074.9695333333,244.012732,28.2998552333333,2.70890575,12758.9753,50.8129989666667,108.016326043012,0.045718170172889,117645600978841,2156932620.48421
