entity,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,mean_log2_response,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance
All species,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,545048.056281351,529720.010388333,-0.0410819659827561,-2.80742330539304,-3.09804046817346,-2.52467938059306,-19.0003933308744,99,8.53510120769566e-35,-1.90003933308744,8.53510120769566e-35,***
All species,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,545048.056281351,534155.370874589,-0.0290534677501341,-1.99369074693302,-2.27973750232122,-1.71442227287137,-13.2916588881447,99,9.59542967127412e-24,-1.32916588881447,9.59542967127412e-24,***
All species,yield,SSP1-2.6,SSP1-2.6 vs Base,100,103884.651606079,103034.517443968,-0.0118024606858165,-0.814747032304675,-1.06651309144803,-0.549392309204522,-6.16825567178423,99,1.51210366436976e-08,-0.616825567178423,1.51210366436976e-08,***
All species,yield,SSP5-8.5,SSP5-8.5 vs Base,100,103884.651606079,104394.268875915,0.00711538202054389,0.494418935220664,0.219997971309249,0.763035728168648,3.59419780138203,99,0.000509191395000238,0.359419780138203,0.000509191395000238,***
