variable,label,role,domain,PC1,PC2,PC3,PC4,PC5,cos2_PC1_PC2,cos2_PC1_PC2_PC3
log_mean_ingestion,Ingestion,Supplementary,Energy,0.439480439021376,-0.0772774920034055,0.0302095522941767,-0.15582752401517,0.0702263597467923,0.199114867052758,0.200027484102573
log_mean_maintenance,Maintenance,Supplementary,Energy,-0.907899879940691,0.0770385575061664,0.0295311135116901,0.364541566887145,0.0485053499534502,0.830217131338951,0.831089218004192
log_mean_net_energy,Net energy,Supplementary,Energy,-0.927922742351282,0.0921485051192533,0.0163685401632557,0.280585783311389,0.0247153364021054,0.869531962768438,0.869799891875514
log_mean_metabolic_burden,Metabolic burden,Supplementary,Energy,-0.915064353769764,0.0881628772441746,0.023984101629824,0.338765083582809,0.0318748471458184,0.845115464464048,0.845690701595038
log_mean_species_length,Mean body length,Supplementary,Life history,-0.910489731182477,0.1029039070742,0.0231951352333209,0.172680035188595,-0.0243745175679388,0.839580764679874,0.840118778978366
log_mean_maturation_age,Maturation age,Supplementary,Life history,0.699459213014741,-0.0869233807021974,0.0679104617470392,-0.0988987688881234,-0.227555455694577,0.496798864783901,0.501410695598597
gonadal_allocation_bias,Gonadal allocation,Supplementary,Life history,0.802991665585029,-0.114628401441334,0.0035934181463154,-0.328539843680259,-0.054438817184221,0.657935285416014,0.657948198069988
