scenario,run,mean_ingestion,mean_maintenance,mean_net_energy,mean_metabolic_burden,mean_species_length,mean_maturation_age,gonadal_allocation_bias
Base,1,49.0523681034161,0.482238730530606,37.2369781214006,0.0310057648813493,17.8620425731429,0.735839820523809,5.86680438136849
Base,2,49.2547450351145,0.466915585781689,37.9465966192606,0.0300596231942698,17.9163115035,0.753926156833333,5.69714516742303
Base,3,48.2377521598759,0.46311552360348,37.1807614875416,0.0301830829686894,17.6879691606905,0.744715618976191,5.78437273185569
Base,4,49.0857698157953,0.47412396338907,37.3167465026444,0.031063011131081,17.8200140918095,0.751823327761905,5.74262630454511
Base,5,49.594092520678,0.462663871088549,37.5796678596504,0.0294350437881748,17.9459494477619,0.754022192642857,5.85536617197481
Base,6,49.2445161386814,0.474154962136905,37.0600762017614,0.0310488136433603,17.9176811942143,0.744119942690476,5.76355514667339
Base,7,49.0384224363395,0.474898023587982,36.6974420918068,0.030693715752635,17.8743722622857,0.740625119047619,5.76978908991107
Base,8,49.274618041619,0.468281389023175,37.1632863036783,0.0304524521982235,17.8447199249048,0.755816122952381,5.75391474423055
Base,9,49.2342601151236,0.473376128781304,37.5023997589689,0.029864402668613,17.7664663062619,0.738120988547619,5.89664768018172
Base,10,49.4319059008804,0.477819487086224,36.9190860929712,0.0308111330858175,17.6573529426429,0.747326444595238,5.69337946303735
Base,11,49.0835920790192,0.492774456729808,37.0740796091842,0.0319451407497926,17.7985441528333,0.749101909666667,5.70954530915707
Base,12,49.2751508714359,0.484923841862211,37.7306632747068,0.031424492916985,17.8275526969524,0.754651718523809,5.68815552411168
Base,13,49.0081014260414,0.485563487835794,36.6303397517486,0.0310853543280763,17.6854222678571,0.751693880738095,5.69531253626591
Base,14,48.983893252101,0.477723580837891,36.4579629673974,0.0303915749321329,17.7554536577381,0.745412197095239,5.78404166482417
Base,15,49.6947505814439,0.473052311589909,37.77315347683,0.0303196722627681,17.8509934109048,0.755940056428571,5.69474158584034
Base,16,49.1734604740124,0.459382339307619,37.1048986831373,0.0302591243066799,17.925338965619,0.745809338380952,5.76486885775564
Base,17,49.0619729022126,0.466337487970283,36.6988852913525,0.0304028871637857,17.8130566427619,0.739916887333334,5.72028945577153
Base,18,49.5951007673067,0.480231092502415,37.67009137229,0.0305652324062278,17.8866669830476,0.750100944738095,5.78359674303036
Base,19,49.9808680714303,0.473258492520088,37.3274555141368,0.0297552563166201,18.0203904172381,0.740221693261905,5.81092660982525
Base,20,49.1436739544989,0.473163351968288,36.9571905914973,0.0299639645938541,17.819172270381,0.739527531404762,5.74865523936628
Base,21,49.5111600193713,0.481273296567324,36.5781989922117,0.0306274517380266,17.8450237985714,0.741212434928571,5.70610648466256
Base,22,49.2982070685907,0.460869208929695,36.6709717778928,0.0291266048870051,17.6291541591191,0.738963597190476,5.69248762002259
Base,23,49.2365970352307,0.469925319275873,37.4575566890057,0.0298712178962959,17.8961830962381,0.741853722904762,5.83047503608266
Base,24,49.9093466930759,0.472933009089014,37.0532264472491,0.0301184083833145,17.9566630126429,0.743136252476191,5.68351444707851
Base,25,49.4292207639343,0.469035569209263,36.5619293236786,0.0297781288035001,17.743977860381,0.744684987095238,5.76763067955265
Base,26,49.5507681329994,0.467992024452189,37.0801947089626,0.0304003843508959,17.8924931362381,0.749001464071429,5.94555258395628
Base,27,48.6570457878259,0.469615126837778,37.2320387277884,0.0304882634604625,17.7489629914762,0.749578452571428,5.82985259269431
Base,28,49.4812319940114,0.476305036381962,37.1546012168619,0.0304831369759323,17.9477112571429,0.744176261738096,5.81267070169972
Base,29,49.9732061404048,0.4650376447067,37.565748045734,0.0299327424449528,18.1681787169286,0.754960818595238,5.85144294676154
Base,30,49.0344916682426,0.476150864818572,36.7116616782999,0.0303483606949673,17.6653410870476,0.757993163357143,5.64680854929314
Base,31,49.2136272902165,0.473723733340817,37.2829960464588,0.0306647910067509,17.544372854119,0.741883420761905,5.69044212687958
Base,32,49.7714620035386,0.467422668865589,36.6278733316233,0.0294432666380879,17.7800873030714,0.758171343404762,5.78235010436349
Base,33,49.2565129151864,0.47393085605708,36.9664307107285,0.0295836049815398,17.893492961119,0.755139779071429,5.82776074255695
Base,34,48.5445213141298,0.485855722415873,36.9958917220949,0.0329119597713139,17.9592535754286,0.747568927666667,5.7940713140286
Base,35,48.9778291841764,0.476358873109433,36.9844686135199,0.0310367758500757,18.0759999053333,0.756974282047619,5.88611331073014
Base,36,49.1960282392869,0.466577332917937,37.158563010609,0.0300022568960205,17.7264269556667,0.746047164666667,5.75225742965852
Base,37,49.4159178051299,0.468482289249173,37.0408467344129,0.0290934836246741,17.8042326217857,0.756383761547619,5.7619286957155
Base,38,48.7495035545618,0.485484175868073,36.7839988656945,0.0305721173967517,17.7445082767381,0.75057504447619,5.73680922232598
Base,39,49.6621663588956,0.476325931634739,37.260937455572,0.0303285320223536,17.8382622867619,0.739893105809523,5.78037589205797
Base,40,49.1241838830505,0.477110771712505,37.204991291331,0.0315425197291106,17.9547504159762,0.734478036952381,5.89075023087968
Base,41,48.8935842738855,0.465324641303776,36.8618971739373,0.0308105605790602,17.7416728279524,0.747909694333333,5.76424324468417
Base,42,49.9601826362857,0.470581107697426,36.9856681901641,0.0293468487042111,17.7691328106667,0.746036230571428,5.69711682512723
Base,43,49.7185580108674,0.462248679240545,37.1701672246517,0.0296027062768101,17.8882524644048,0.738278457309524,5.74933743472303
Base,44,49.7475238699592,0.466045675514059,37.725636509272,0.0295636628147624,18.012497418619,0.743159222142857,5.66249531662894
Base,45,48.989667208614,0.473920702437539,36.921098410626,0.0303177167649469,17.8451509204048,0.744644686690476,5.77132229031127
Base,46,49.3704306164117,0.473756203685601,37.1222962070667,0.0298567715148974,17.7498487498572,0.746394415857143,5.71280214696576
Base,47,49.8693996902631,0.474261274112699,37.8002272552205,0.0304934138352395,17.7916661102857,0.731452180476191,5.66460164436051
Base,48,48.9370907941088,0.479356117650492,37.2315692819883,0.0312044412516871,17.9991887717857,0.743784725619048,5.64831219558317
Base,49,49.24090474039,0.469039046135918,36.4627284085187,0.0308164371040698,18.010356929,0.747154044142857,5.90700819309768
Base,50,49.2604040738186,0.461715965786474,36.6945775296423,0.0298277706453126,18.0517300675238,0.750934722666667,5.91471668196577
Base,51,49.6458471280857,0.476810508118701,37.0888421386978,0.0309941434721562,18.1866650952619,0.747382986880953,5.73793157257717
Base,52,49.3650985277823,0.472284529081395,36.0830224258275,0.0309910590085471,17.9557023778095,0.757772951928572,5.77172902665966
Base,53,49.1208809604314,0.486356987785521,37.3015956972626,0.0313247350867252,17.8166709311905,0.745005079523809,5.76853064967212
Base,54,48.9538761043174,0.459512251875953,36.8678209396575,0.0296795260949403,17.7986819746905,0.739355209238095,5.83488464606454
Base,55,48.7624457377591,0.485311584010953,37.548121370474,0.0315504315023508,17.9164152317381,0.752611183833334,5.6643973794212
Base,56,49.1467478363894,0.478544492924342,36.8083267793395,0.0311964728687383,17.8854103121429,0.744645860880952,5.75967949877234
Base,57,48.9630869298861,0.47430760820822,36.8867416708695,0.030759209045202,17.9698949397619,0.752234362761906,5.8321047463637
Base,58,49.2909368233753,0.474518758987074,37.2126132906974,0.0305532819507084,17.9452917800476,0.755023601761905,5.85184355267429
Base,59,49.2076106386456,0.47415895895305,36.8371212394885,0.0302428538103773,17.921787574381,0.755045786547619,5.82321637953833
Base,60,48.792434020475,0.472718703163231,36.676232423144,0.0307993104783263,17.7111180596667,0.747754087190476,5.90656141301445
Base,61,49.163840523114,0.463878697356021,37.4550553217438,0.0297211324293525,17.6829951961191,0.752552126952382,5.66279602334481
Base,62,49.3427441479002,0.470783713853227,37.4434879817903,0.0303215990636853,17.7918024781429,0.749999250833333,5.68540082743301
Base,63,48.6603883792784,0.473718442413322,37.2777829840859,0.0313785434744603,17.7571006771667,0.751324308666666,5.78167246528876
Base,64,48.7225394392817,0.481360808457007,36.7763827896371,0.0306711831383916,17.8550627896429,0.752555692047619,5.89363363084667
Base,65,48.5340613812358,0.471302521483833,36.7514491375261,0.0305311337654523,17.6705860759048,0.747174939904762,5.91846945319102
Base,66,49.37983679233,0.468903532258289,37.2275710541634,0.0301191256988404,17.7438402593095,0.751216276952381,5.91546499151552
Base,67,49.7200641794847,0.474606592151758,37.1249100932548,0.0299427467613161,17.8545544832619,0.744437473904762,5.72337278073269
Base,68,49.4666681691247,0.471735772131961,37.0060887909849,0.030171609661874,17.8439125773095,0.749367948190477,5.91317619700786
Base,69,49.69341954886,0.469815454249864,36.8778744806584,0.0302478787767749,17.6510329923571,0.751947959190476,5.9195965698894
Base,70,49.0354029922522,0.474084915517846,36.6322553695285,0.0309363045685997,17.8087868653095,0.752875452238095,5.70419686588245
Base,71,49.0853071338152,0.477780444763832,36.7243449055424,0.0308898466101685,17.8979737414286,0.754844429833334,5.69733730894003
Base,72,48.786722260458,0.467602695877036,37.2371351606154,0.0300545187797022,17.8715896880714,0.746614676547619,5.7443168187142
Base,73,49.0249721818691,0.476418075896145,37.3951905790246,0.0305998854772758,17.6572517842857,0.754199183047619,5.68827498407286
Base,74,48.7833403149762,0.473191598618367,37.1846698251708,0.0307757630936194,17.9402134433095,0.739167342714286,5.94988110041591
Base,75,48.9542351974864,0.466818769612438,36.8039519506617,0.0297947396713008,17.7761283570238,0.749488354880953,5.64423985551828
Base,76,49.5308276781887,0.468806534397755,36.9849970393759,0.0296703330929826,17.9706724762143,0.750711669904762,5.85595695397451
Base,77,49.4287030883498,0.475171876580056,36.7585363565088,0.0292967837427554,17.8783852570238,0.745197036357143,5.87856687628367
Base,78,49.4754682771231,0.468149385493798,37.1761422305215,0.0295466918485365,17.9406809334286,0.750530479333333,5.75823320727985
Base,79,48.5286233943129,0.462680408233231,36.9671064249654,0.0300889900160579,17.8507345169524,0.754457118976191,5.75862845415969
Base,80,49.3549505962552,0.47766762939475,37.004487341876,0.0302979438440558,17.9371579499286,0.741712181833334,5.65142490560745
Base,81,48.820290181881,0.475276754412824,36.8055525777626,0.0307406259251961,17.7394822669286,0.749583281380953,5.74974194374372
