variable,PC1,PC2,PC3,PC4,PC5,label,role,domain
log_total_biomass,0.796759907343763,-0.335874933544446,0.174635235077365,0.466613037287067,-0.0643155282127441,Total biomass,Active,Active ecosystem state
log_biomass_stability,0.360177971711647,0.781077386856892,0.507241627872069,0.0536643135436576,-0.00400210445546171,Biomass stability,Active,Active ecosystem state
community_mean_tl,-0.916387280671997,0.0344077869847678,0.0898870775221245,0.360688493286812,0.144480379714389,Mean trophic level,Active,Active ecosystem state
predator_share_logit,-0.507639849991806,-0.426292958329567,0.729735112422359,-0.164061628831402,-0.0338606559599205,Predator biomass proportion,Active,Active ecosystem state
log_biomass_yield_ratio,0.938169683472486,-0.211675591938779,0.139606283847542,-0.153342342660031,0.178961728445822,Biomass/yield,Active,Resource-use balance
