scenario,run,PC1,PC2,PC3,PC4,PC5
Base,1,1.93983414863088,-1.65234972826836,-1.3149281917096,-0.339156456651486,0.224292944593836
Base,2,2.76681404805668,1.03186741933933,-1.14509862521138,0.95714568656699,-0.353689024292784
Base,3,1.42848225015067,-2.26034532470915,-1.28572371084814,-0.155719135602048,0.0276439347179742
Base,4,2.4176193064841,1.16295167106114,0.966253005194022,-0.0430249625990238,0.0671417205700843
Base,5,1.67458546464649,-1.24728602446007,-0.329342506250027,-0.347617563219781,0.430552001994087
Base,6,1.96965797600469,-1.83449777611633,0.106549062933853,-0.524178097739239,0.0751405930559634
Base,7,2.527245245978,0.899710075179549,1.77249963524354,-0.128129688383806,0.0755683333257631
Base,8,1.6267736476609,0.587566619383029,0.785590906152729,-1.31772976770801,0.245772661099097
Base,9,0.719812819083794,0.194211472013996,0.555313493086976,-1.49876074419451,0.466419209357944
Base,10,2.05542021409299,-0.378868022341519,-0.312184013571274,-0.258465109884723,-0.166462695627834
Base,11,2.82950668352696,0.355826729568816,-0.493953119559535,0.145487239056709,-0.52798819964296
Base,12,2.28597945841632,2.09860586979451,0.56761611221376,-0.15655650063387,-0.0513182660620165
Base,13,2.29399733212128,-0.0835230761697866,0.856222600439129,-0.222987072025206,0.763354967057987
Base,14,1.0322313990557,-1.29148922222886,1.56785074576255,-0.839897689606321,0.440802614601636
Base,15,2.31145328620627,-1.41924112020239,1.10274847236273,0.206213469199645,-0.25866129791607
Base,16,1.69790928870865,-2.04168113965007,0.621724201818769,-0.812515944925424,0.00144108503546381
Base,17,2.34426094794101,-0.116580297893534,-0.13353355349113,0.187534560979117,-0.12897695868399
Base,18,1.93386809828282,-0.83140616409046,-1.35833174527394,-0.857233417097779,0.143044310230272
Base,19,1.90103642537183,-1.86566217244084,0.968795434650638,-0.455160706006054,0.0986933791026834
Base,20,0.993482920620352,-0.440596948429588,-1.28894658394231,-1.43080892798658,-0.217230409567763
Base,21,2.640903369561,0.580783910897507,-0.956618034955,0.563309925390859,-0.186153874211378
Base,22,2.79656214200765,0.234653932601921,-0.339219211023711,-0.0696645691154696,0.468050194715206
Base,23,1.83568806285121,-0.123092101583377,-1.09702102750492,-0.412457443000154,-0.180232224361525
Base,24,1.96207019406675,1.30138593222744,0.8145172939371,-1.36094569435508,0.248260648529391
Base,25,3.60279743118115,1.46138595077653,-1.33569801616008,1.08036682881693,0.277535179129102
Base,26,2.05690882535189,-0.922479419561767,-0.780549380312832,-0.427074156304984,0.0628763547077023
Base,27,2.4179713025163,0.308774703139888,0.125217781834639,-0.473208740372733,0.388289146075761
Base,28,1.91390939980002,-0.256689119004275,0.34812087441019,-0.641417810674633,-0.00721063950907097
Base,29,1.73527549028162,-0.906871542239289,-0.130365829568769,-0.388339060664353,0.144933683838284
Base,30,2.48829789379872,0.857274685897612,-0.563951722498547,-0.103340795056055,-0.0197319594825729
Base,31,3.31337973154064,1.62595701722215,0.161552179921039,-0.121169336056439,0.358980787163387
Base,32,2.11511156856584,-1.59011729707308,0.858702231306282,0.351473337212834,0.0750831116336164
Base,33,1.77406265382791,-0.003643711480529,1.54195948099633,-0.310772678650095,-0.15967841819845
Base,34,2.52768524965539,-0.970387865516102,-0.743961821902301,0.410502277563653,-0.431499335886566
Base,35,3.07388407372141,-1.8047711317098,2.4042366825456,0.992956616978005,-0.0741516178833175
Base,36,2.75154428655827,1.2035449743625,-0.323481402000315,0.202192994526255,7.56574441569402e-05
Base,37,2.16413124685292,-0.17649088004755,0.21446361046924,-0.285071980991411,0.0837359704952567
Base,38,1.79060186041763,0.776842486487694,1.97460819559669,-0.0797166558815826,-0.0894482971029208
Base,39,3.10395336008661,-1.837012038756,0.669053241365577,0.526034193001044,0.486730116902591
Base,40,1.96973622957675,0.593896301027722,-0.442737081655916,-0.857989122253564,0.434674108667484
Base,41,2.93626652904206,0.708741896212949,-1.65694230389798,0.475354318866796,-0.250024572038374
Base,42,1.83269830823169,0.499458004600601,-1.49813263360072,-1.18168170632761,0.0132941170151395
Base,43,1.13640074815911,-0.312010201721376,-0.831673949248187,-0.765072670528479,0.206484925374257
Base,44,2.00249397038798,-0.0327843978355384,0.250018774869645,-0.227465361609517,0.303302010940068
Base,45,1.81366173237088,-0.069701862944836,-0.305730404361526,-0.276949073701317,0.0376466544033174
Base,46,2.87131774153256,-0.12367208872948,-1.4709646389223,0.674400354494719,-0.226135261095099
Base,47,2.22222021028449,1.71763939772403,0.711139611060129,-0.776856608470018,0.829977612945033
Base,48,1.18922498314739,-1.2171271447831,2.06010939523353,-0.64188484318688,0.00310793413263943
Base,49,2.29628191975498,0.217144849729544,0.890876022586867,-0.247160689264228,0.415418541333899
Base,50,2.1943027300122,-2.76419056119435,-1.48663517186529,0.269528573887416,-0.531701301190406
Base,51,3.15409136861602,-0.823540238707908,2.38643332970695,0.883407508554262,0.0677096143520102
Base,52,2.68625146365162,-0.0870948482177743,-0.117345008441832,0.0809845781435752,-0.625861089593678
Base,53,1.91180788254423,1.68850368822832,-0.00115053283329711,-0.367338484278507,-0.123655727311404
Base,54,1.43542141411646,-2.60304168252836,-2.32799935584444,-0.365508413540743,0.0945646094555194
Base,55,2.37377613219182,-0.795367949861906,-0.745247661690825,0.0460554434101724,-0.224392690316817
Base,56,1.37532322847271,-1.88084405747424,0.646917896077667,-0.799844171825022,0.151924023729521
Base,57,3.03468635860318,0.0447759863357097,0.295184304603552,0.454353664561999,0.0144422724961957
