scenario,run,group,mean_tl
Base,70,Predator,3.0100451825
Base,71,Predator,3.01233237833333
Base,72,Predator,3.00174870916667
Base,73,Predator,3.00265897666666
Base,74,Predator,3.00682955833334
Base,75,Predator,3.00991377166667
Base,76,Predator,2.99772012833334
Base,77,Predator,3.00331866916667
Base,78,Predator,3.007841235
Base,79,Predator,3.00563416083333
Base,80,Predator,3.0048173
Base,81,Predator,3.00014685333333
Base,82,Predator,3.00293903
Base,83,Predator,3.00107883333334
Base,84,Predator,3.0004625275
Base,85,Predator,3.00463903833333
Base,86,Predator,3.0133423575
Base,87,Predator,3.00320361083333
Base,88,Predator,3.00352422083333
Base,89,Predator,3.0065069025
Base,90,Predator,3.00292512083333
Base,91,Predator,3.0039352825
Base,92,Predator,3.00599015333334
Base,93,Predator,3.00404218583334
Base,94,Predator,2.99656434833333
Base,95,Predator,3.00031702333333
Base,96,Predator,3.00444372333333
Base,97,Predator,3.00779508833333
Base,98,Predator,3.00234524333333
Base,99,Predator,3.0062362025
Base,100,Predator,2.99581840333334
Base,1,Invertebrate,2.27770594444444
Base,2,Invertebrate,2.28385489777778
Base,3,Invertebrate,2.28784106333333
Base,4,Invertebrate,2.28085622666667
Base,5,Invertebrate,2.28241390555556
Base,6,Invertebrate,2.28413218111111
Base,7,Invertebrate,2.28129732888889
Base,8,Invertebrate,2.28166086333333
Base,9,Invertebrate,2.28901248111111
Base,10,Invertebrate,2.28489822222222
Base,11,Invertebrate,2.28616910666667
Base,12,Invertebrate,2.28103181
Base,13,Invertebrate,2.27950615777778
Base,14,Invertebrate,2.27935658888889
Base,15,Invertebrate,2.28267813222222
Base,16,Invertebrate,2.28166488444444
Base,17,Invertebrate,2.28362555
Base,18,Invertebrate,2.28152549222222
Base,19,Invertebrate,2.28709224111111
Base,20,Invertebrate,2.28302740555556
Base,21,Invertebrate,2.28338879222222
Base,22,Invertebrate,2.27786353555556
Base,23,Invertebrate,2.28374653222222
Base,24,Invertebrate,2.27901566333333
Base,25,Invertebrate,2.27838816222222
Base,26,Invertebrate,2.28453388222222
Base,27,Invertebrate,2.27705634444445
Base,28,Invertebrate,2.28140927888889
Base,29,Invertebrate,2.28484765
Base,30,Invertebrate,2.29023682666667
Base,31,Invertebrate,2.28326039444444
Base,32,Invertebrate,2.28284345444445
Base,33,Invertebrate,2.28305763333333
Base,34,Invertebrate,2.27982787888889
Base,35,Invertebrate,2.28377781222222
Base,36,Invertebrate,2.28071785666667
Base,37,Invertebrate,2.28069505111111
Base,38,Invertebrate,2.28737329555556
Base,39,Invertebrate,2.28059130444444
Base,40,Invertebrate,2.28057508
Base,41,Invertebrate,2.2814603
Base,42,Invertebrate,2.29120036
Base,43,Invertebrate,2.28100477666667
Base,44,Invertebrate,2.27990870333333
Base,45,Invertebrate,2.28670585777778
Base,46,Invertebrate,2.28626754333333
Base,47,Invertebrate,2.27527509222222
Base,48,Invertebrate,2.28143315
Base,49,Invertebrate,2.27929999222222
Base,50,Invertebrate,2.28759181888889
Base,51,Invertebrate,2.28533448111111
Base,52,Invertebrate,2.28785687777778
Base,53,Invertebrate,2.27999816666667
Base,54,Invertebrate,2.27990200333333
Base,55,Invertebrate,2.27967568666667
Base,56,Invertebrate,2.28506441777778
Base,57,Invertebrate,2.28275639333334
Base,58,Invertebrate,2.28126149
Base,59,Invertebrate,2.27817401333333
Base,60,Invertebrate,2.28280638
Base,61,Invertebrate,2.28635147777778
Base,62,Invertebrate,2.27764653555555
Base,63,Invertebrate,2.28532382888889
Base,64,Invertebrate,2.28417800888889
Base,65,Invertebrate,2.28053174666667
Base,66,Invertebrate,2.28479692555555
Base,67,Invertebrate,2.28837168555556
Base,68,Invertebrate,2.28662343333333
Base,69,Invertebrate,2.27679897666667
Base,70,Invertebrate,2.28731184
Base,71,Invertebrate,2.28747613555556
Base,72,Invertebrate,2.27532233333333
Base,73,Invertebrate,2.27717046222222
Base,74,Invertebrate,2.28258383111111
Base,75,Invertebrate,2.28429212222222
Base,76,Invertebrate,2.28130480555556
Base,77,Invertebrate,2.28023600777778
Base,78,Invertebrate,2.28154677444444
Base,79,Invertebrate,2.28761341222222
Base,80,Invertebrate,2.27524804888889
Base,81,Invertebrate,2.27697527555556
Base,82,Invertebrate,2.28443359444444
Base,83,Invertebrate,2.27265078333333
Base,84,Invertebrate,2.28396049777778
Base,85,Invertebrate,2.28129841444444
Base,86,Invertebrate,2.28401624111111
Base,87,Invertebrate,2.28339149777778
Base,88,Invertebrate,2.28240481888889
Base,89,Invertebrate,2.28568088666667
Base,90,Invertebrate,2.28105085111111
Base,91,Invertebrate,2.28174017777778
Base,92,Invertebrate,2.28312403111111
Base,93,Invertebrate,2.27867895222222
Base,94,Invertebrate,2.28436282444445
Base,95,Invertebrate,2.28958665888889
Base,96,Invertebrate,2.27979379111111
Base,97,Invertebrate,2.28339407111111
Base,98,Invertebrate,2.28778629777778
Base,99,Invertebrate,2.27814716777778
Base,100,Invertebrate,2.27831965666667
Base,1,Mid-trophic species,2.70533190166667
Base,2,Mid-trophic species,2.71102259
Base,3,Mid-trophic species,2.70851416555555
Base,4,Mid-trophic species,2.70751498888889
Base,5,Mid-trophic species,2.70976935222222
Base,6,Mid-trophic species,2.709195695
Base,7,Mid-trophic species,2.70629982222222
Base,8,Mid-trophic species,2.70567711111111
Base,9,Mid-trophic species,2.70946674055556
Base,10,Mid-trophic species,2.70141106444444
Base,11,Mid-trophic species,2.70928545333333
Base,12,Mid-trophic species,2.70492324777778
Base,13,Mid-trophic species,2.714062165
Base,14,Mid-trophic species,2.70844518277778
Base,15,Mid-trophic species,2.71469972722222
Base,16,Mid-trophic species,2.70655531888889
Base,17,Mid-trophic species,2.71039927833333
Base,18,Mid-trophic species,2.71198123555556
Base,19,Mid-trophic species,2.70946398055556
Base,20,Mid-trophic species,2.709383355
Base,21,Mid-trophic species,2.70789405611111
Base,22,Mid-trophic species,2.70248442166667
Base,23,Mid-trophic species,2.70432905777778
Base,24,Mid-trophic species,2.70406944111111
Base,25,Mid-trophic species,2.71160319277778
Base,26,Mid-trophic species,2.70515536055556
Base,27,Mid-trophic species,2.70573535888889
Base,28,Mid-trophic species,2.70608538555556
Base,29,Mid-trophic species,2.71031689111111
