run,species,scenario,tl_future,latin,group,species_order,tl_base,response_tl
2,PennahiaArgentata,SSP5-8.5,2.91013941851852,Pennahia argentata,Mid-trophic species,11,2.90027054333333,0.00986887518519008
2,PortunusTrituberculatus,SSP1-2.6,2.14971190493827,Portunus trituberculatus,Invertebrate,8,2.14567494666667,0.0040369582716
2,PortunusTrituberculatus,SSP5-8.5,2.15445168024691,Portunus trituberculatus,Invertebrate,8,2.14567494666667,0.00877673358023978
2,ScomberJaponicus,SSP1-2.6,2.53627157283951,Scomber japonicus,Mid-trophic species,9,2.53708523,-0.000813657160489978
2,ScomberJaponicus,SSP5-8.5,2.54115806666667,Scomber japonicus,Mid-trophic species,9,2.53708523,0.00407283666667002
2,ScomberomorusNiphonius,SSP1-2.6,3.0754344,Scomberomorus niphonius,Predator,2,3.08600794666667,-0.0105735466666701
2,ScomberomorusNiphonius,SSP5-8.5,3.07463651234568,Scomberomorus niphonius,Predator,2,3.08600794666667,-0.0113714343209899
2,TodarodesPacificus,SSP1-2.6,2.42755425555556,Todarodes pacificus,Invertebrate,6,2.43250478333333,-0.00495052777776994
2,TodarodesPacificus,SSP5-8.5,2.43192894691358,Todarodes pacificus,Invertebrate,6,2.43250478333333,-0.000575836419749898
2,TrachurusJaponicus,SSP1-2.6,2.68757747654321,Trachurus japonicus,Mid-trophic species,14,2.68478745333333,0.00279002320987987
2,TrachurusJaponicus,SSP5-8.5,2.67156378148148,Trachurus japonicus,Mid-trophic species,14,2.68478745333333,-0.0132236718518501
2,TrachysalambriaCurvirostris,SSP1-2.6,2.2759616617284,Trachysalambria curvirostris,Invertebrate,7,2.27338496333333,0.00257669839507013
2,TrachysalambriaCurvirostris,SSP5-8.5,2.28003892716049,Trachysalambria curvirostris,Invertebrate,7,2.27338496333333,0.00665396382715988
2,TrichiurusJaponicus,SSP1-2.6,2.78409955679012,Trichiurus japonicus,Predator,3,2.78503295,-0.000933393209880062
2,TrichiurusJaponicus,SSP5-8.5,2.78273513950617,Trichiurus japonicus,Predator,3,2.78503295,-0.00229781049383027
3,DecapterusMaruadsi,SSP1-2.6,2.72268938148148,Decapterus maruadsi,Mid-trophic species,10,2.70801136,0.0146780214814801
3,DecapterusMaruadsi,SSP5-8.5,2.72560706419753,Decapterus maruadsi,Mid-trophic species,10,2.70801136,0.0175957041975301
3,EngraulisJaponicus,SSP1-2.6,2.32796379506173,Engraulis japonicus,Prey,1,2.32897034666667,-0.00100655160494023
3,EngraulisJaponicus,SSP5-8.5,2.32077992469136,Engraulis japonicus,Prey,1,2.32897034666667,-0.00819042197531017
3,LarimichthysPolyactis,SSP1-2.6,2.60634308395062,Larimichthys polyactis,Mid-trophic species,13,2.59151494,0.0148281439506199
3,LarimichthysPolyactis,SSP5-8.5,2.61438431111111,Larimichthys polyactis,Mid-trophic species,13,2.59151494,0.0228693711111099
3,MiichthysMiiuy,SSP1-2.6,3.01546612716049,Miichthys miiuy,Predator,5,3.01338845,0.00207767716049023
