run,group,scenario,tl_future,tl_base,response_tl
22,Mid-trophic species,SSP5-8.5,2.70862500781893,2.70248442166667,0.00614058615226476
23,Prey,SSP1-2.6,2.32972165802469,2.33658341333333,-0.00686175530863986
23,Prey,SSP5-8.5,2.32127200987654,2.33658341333333,-0.0153114034567898
23,Predator,SSP1-2.6,2.99719676759259,3.00325392416667,-0.0060571565740779
23,Predator,SSP5-8.5,2.99768082160494,3.00325392416667,-0.00557310256172761
23,Invertebrate,SSP1-2.6,2.28359189835391,2.28374653222222,-0.000154633868312715
23,Invertebrate,SSP5-8.5,2.27969736913581,2.28374653222222,-0.00404916308641612
23,Mid-trophic species,SSP1-2.6,2.70789894567901,2.70432905777778,0.00356988790123536
23,Mid-trophic species,SSP5-8.5,2.70889304238683,2.70432905777778,0.00456398460905305
24,Prey,SSP1-2.6,2.32446955679012,2.32797258666667,-0.00350302987654993
24,Prey,SSP5-8.5,2.32616178148148,2.32797258666667,-0.00181080518518995
24,Predator,SSP1-2.6,2.99764107222222,2.99559031583333,0.00205075638888985
24,Predator,SSP5-8.5,2.99148119845679,2.99559031583333,-0.00410911737653974
24,Invertebrate,SSP1-2.6,2.28435041975309,2.27901566333333,0.00533475641975301
24,Invertebrate,SSP5-8.5,2.28453576790124,2.27901566333333,0.00552010456790253
24,Mid-trophic species,SSP1-2.6,2.70408846502058,2.70406944111111,1.90239094690625e-05
24,Mid-trophic species,SSP5-8.5,2.71122650946502,2.70406944111111,0.00715706835390861
25,Prey,SSP1-2.6,2.32905449876543,2.33233328,-0.00327878123456982
25,Prey,SSP5-8.5,2.32292452222222,2.33233328,-0.00940875777777972
25,Predator,SSP1-2.6,2.99606820339506,3.00442108833333,-0.00835288493826969
25,Predator,SSP5-8.5,2.99726063919753,3.00442108833333,-0.0071604491357995
25,Invertebrate,SSP1-2.6,2.28552667736625,2.27838816222222,0.00713851514402997
25,Invertebrate,SSP5-8.5,2.28286719670782,2.27838816222222,0.0044790344855965
25,Mid-trophic species,SSP1-2.6,2.70761278539095,2.71160319277778,-0.00399040738683043
25,Mid-trophic species,SSP5-8.5,2.71344448106996,2.71160319277778,0.00184128829218189
26,Prey,SSP1-2.6,2.32588663580247,2.33856710666667,-0.0126804708642001
26,Prey,SSP5-8.5,2.32501108271605,2.33856710666667,-0.0135560239506201
26,Predator,SSP1-2.6,3.00129118425926,3.00463581083333,-0.00334462657407242
26,Predator,SSP5-8.5,2.9955637,3.00463581083333,-0.00907211083333204
26,Invertebrate,SSP1-2.6,2.28100608148148,2.28453388222222,-0.00352780074073999
26,Invertebrate,SSP5-8.5,2.28760520946502,2.28453388222222,0.00307132724279979
26,Mid-trophic species,SSP1-2.6,2.71419699382716,2.70515536055556,0.00904163327160479
26,Mid-trophic species,SSP5-8.5,2.71596029218107,2.70515536055556,0.0108049316255148
27,Prey,SSP1-2.6,2.32538754691358,2.33440732,-0.0090197730864201
27,Prey,SSP5-8.5,2.32593140246914,2.33440732,-0.00847591753085997
27,Predator,SSP1-2.6,2.99794071820988,3.00493508166667,-0.00699436345679283
27,Predator,SSP5-8.5,2.99775236018519,3.00493508166667,-0.00718272148148014
27,Invertebrate,SSP1-2.6,2.28378419958848,2.27705634444445,0.0067278551440304
27,Invertebrate,SSP5-8.5,2.28418999053498,2.27705634444445,0.00713364609053047
27,Mid-trophic species,SSP1-2.6,2.70799221131687,2.70573535888889,0.00225685242798157
27,Mid-trophic species,SSP5-8.5,2.71128961666667,2.70573535888889,0.00555425777777785
28,Prey,SSP1-2.6,2.3279124617284,2.33756622,-0.00965375827159987
28,Prey,SSP5-8.5,2.32864087407407,2.33756622,-0.00892534592592975
28,Predator,SSP1-2.6,2.99531027530864,3.00052785416667,-0.00521757885802776
28,Predator,SSP5-8.5,2.99356849722222,3.00052785416667,-0.00695935694444483
28,Invertebrate,SSP1-2.6,2.28407815349794,2.28140927888889,0.00266887460905307
28,Invertebrate,SSP5-8.5,2.28560040041152,2.28140927888889,0.00419112152263335
28,Mid-trophic species,SSP1-2.6,2.70803876111111,2.70608538555556,0.0019533755555563
28,Mid-trophic species,SSP5-8.5,2.71266401563786,2.70608538555556,0.00657863008230608
29,Prey,SSP1-2.6,2.32456396049383,2.33265377,-0.00808980950616967
29,Prey,SSP5-8.5,2.32663622839506,2.33265377,-0.00601754160493995
29,Predator,SSP1-2.6,2.99865259506173,3.00249359666667,-0.00384100160493706
29,Predator,SSP5-8.5,2.99862595555556,3.00249359666667,-0.0038676411111096
29,Invertebrate,SSP1-2.6,2.2846235345679,2.28484765,-0.000224115432099659
29,Invertebrate,SSP5-8.5,2.28692410740741,2.28484765,0.00207645740740681
