,min,max
1,9000,23000
2,9000,23000
3,9000,23000
4,9000,23000
5,9000,23000
6,9000,23000
7,9000,23000
8,9000,23000
9,9000,23000
10,9000,23000
11,9000,23000
12,9000,23000
13,9000,23000
14,9000,23000
15,9000,23000
16,9000,23000
17,9000,23000
18,9000,23000
19,9000,23000
20,9000,23000
21,9000,23000
22,9000,23000
23,9000,23000
24,9000,23000
25,9000,23000
26,9000,23000
27,9000,23000
28,9000,23000
29,9000,23000
30,9000,23000
31,9000,23000
32,9000,23000
33,9000,23000
34,9000,23000
35,9000,23000
36,9000,23000
37,9000,23000
38,9000,23000
39,9000,23000
40,9000,23000
41,9000,23000
42,9000,23000
43,9000,23000
44,9000,23000
45,9000,23000
46,9000,23000
47,9000,23000
48,9000,23000
49,9000,23000
50,9000,23000
