,min,max
1,690000,2300000
2,690000,2300000
3,690000,2300000
4,690000,2300000
5,690000,2300000
6,690000,2300000
7,690000,2300000
8,690000,2300000
9,690000,2300000
10,690000,2300000
11,690000,2300000
12,690000,2300000
13,690000,2300000
14,690000,2300000
15,690000,2300000
16,690000,2300000
17,690000,2300000
18,690000,2300000
19,690000,2300000
20,690000,2300000
21,690000,2300000
22,690000,2300000
23,690000,2300000
24,690000,2300000
25,690000,2300000
26,690000,2300000
27,690000,2300000
28,690000,2300000
29,690000,2300000
30,690000,2300000
31,690000,2300000
32,690000,2300000
33,690000,2300000
34,690000,2300000
35,690000,2300000
36,690000,2300000
37,690000,2300000
38,690000,2300000
39,690000,2300000
40,690000,2300000
41,690000,2300000
42,690000,2300000
43,690000,2300000
44,690000,2300000
45,690000,2300000
46,690000,2300000
47,690000,2300000
48,690000,2300000
49,690000,2300000
50,690000,2300000
