,min,max
1,500000,1800000
2,500000,1800000
3,500000,1800000
4,500000,1800000
5,500000,1800000
6,500000,1800000
7,500000,1800000
8,500000,1800000
9,500000,1800000
10,500000,1800000
11,500000,1800000
12,500000,1800000
13,500000,1800000
14,500000,1800000
15,500000,1800000
16,500000,1800000
17,500000,1800000
18,500000,1800000
19,500000,1800000
20,500000,1800000
21,500000,1800000
22,500000,1800000
23,500000,1800000
24,500000,1800000
25,500000,1800000
26,500000,1800000
27,500000,1800000
28,500000,1800000
29,500000,1800000
30,500000,1800000
31,500000,1800000
32,500000,1800000
33,500000,1800000
34,500000,1800000
35,500000,1800000
36,500000,1800000
37,500000,1800000
38,500000,1800000
39,500000,1800000
40,500000,1800000
41,500000,1800000
42,500000,1800000
43,500000,1800000
44,500000,1800000
45,500000,1800000
46,500000,1800000
47,500000,1800000
48,500000,1800000
49,500000,1800000
50,500000,1800000
