,min,max
1,130000,400000
2,130000,400000
3,130000,400000
4,130000,400000
5,130000,400000
6,130000,400000
7,130000,400000
8,130000,400000
9,130000,400000
10,130000,400000
11,130000,400000
12,130000,400000
13,130000,400000
14,130000,400000
15,130000,400000
16,130000,400000
17,130000,400000
18,130000,400000
19,130000,400000
20,130000,400000
21,130000,400000
22,130000,400000
23,130000,400000
24,130000,400000
25,130000,400000
26,130000,400000
27,130000,400000
28,130000,400000
29,130000,400000
30,130000,400000
31,130000,400000
32,130000,400000
33,130000,400000
34,130000,400000
35,130000,400000
36,130000,400000
37,130000,400000
38,130000,400000
39,130000,400000
40,130000,400000
41,130000,400000
42,130000,400000
43,130000,400000
44,130000,400000
45,130000,400000
46,130000,400000
47,130000,400000
48,130000,400000
49,130000,400000
50,130000,400000
