,min,max
1,45000,250000
2,45000,250000
3,45000,250000
4,45000,250000
5,45000,250000
6,45000,250000
7,45000,250000
8,45000,250000
9,45000,250000
10,45000,250000
11,45000,250000
12,45000,250000
13,45000,250000
14,45000,250000
15,45000,250000
16,45000,250000
17,45000,250000
18,45000,250000
19,45000,250000
20,45000,250000
21,45000,250000
22,45000,250000
23,45000,250000
24,45000,250000
25,45000,250000
26,45000,250000
27,45000,250000
28,45000,250000
29,45000,250000
30,45000,250000
31,45000,250000
32,45000,250000
33,45000,250000
34,45000,250000
35,45000,250000
36,45000,250000
37,45000,250000
38,45000,250000
39,45000,250000
40,45000,250000
41,45000,250000
42,45000,250000
43,45000,250000
44,45000,250000
45,45000,250000
46,45000,250000
47,45000,250000
48,45000,250000
49,45000,250000
50,45000,250000
