,min,max
1,600000,2500000
2,600000,2500000
3,600000,2500000
4,600000,2500000
5,600000,2500000
6,600000,2500000
7,600000,2500000
8,600000,2500000
9,600000,2500000
10,600000,2500000
11,600000,2500000
12,600000,2500000
13,600000,2500000
14,600000,2500000
15,600000,2500000
16,600000,2500000
17,600000,2500000
18,600000,2500000
19,600000,2500000
20,600000,2500000
21,600000,2500000
22,600000,2500000
23,600000,2500000
24,600000,2500000
25,600000,2500000
26,600000,2500000
27,600000,2500000
28,600000,2500000
29,600000,2500000
30,600000,2500000
31,600000,2500000
32,600000,2500000
33,600000,2500000
34,600000,2500000
35,600000,2500000
36,600000,2500000
37,600000,2500000
38,600000,2500000
39,600000,2500000
40,600000,2500000
41,600000,2500000
42,600000,2500000
43,600000,2500000
44,600000,2500000
45,600000,2500000
46,600000,2500000
47,600000,2500000
48,600000,2500000
49,600000,2500000
50,600000,2500000
