,min,max
1,900000,2000000
2,900000,2000000
3,900000,2000000
4,900000,2000000
5,900000,2000000
6,900000,2000000
7,900000,2000000
8,900000,2000000
9,900000,2000000
10,900000,2000000
11,900000,2000000
12,900000,2000000
13,900000,2000000
14,900000,2000000
15,900000,2000000
16,900000,2000000
17,900000,2000000
18,900000,2000000
19,900000,2000000
20,900000,2000000
21,900000,2000000
22,900000,2000000
23,900000,2000000
24,900000,2000000
25,900000,2000000
26,900000,2000000
27,900000,2000000
28,900000,2000000
29,900000,2000000
30,900000,2000000
31,900000,2000000
32,900000,2000000
33,900000,2000000
34,900000,2000000
35,900000,2000000
36,900000,2000000
37,900000,2000000
38,900000,2000000
39,900000,2000000
40,900000,2000000
41,900000,2000000
42,900000,2000000
43,900000,2000000
44,900000,2000000
45,900000,2000000
46,900000,2000000
47,900000,2000000
48,900000,2000000
49,900000,2000000
50,900000,2000000
