,min,max
1,1500,80000
2,1500,80000
3,1500,80000
4,1500,80000
5,1500,80000
6,1500,80000
7,1500,80000
8,1500,80000
9,1500,80000
10,1500,80000
11,1500,80000
12,1500,80000
13,1500,80000
14,1500,80000
15,1500,80000
16,1500,80000
17,1500,80000
18,1500,80000
19,1500,80000
20,1500,80000
21,1500,80000
22,1500,80000
23,1500,80000
24,1500,80000
25,1500,80000
26,1500,80000
27,1500,80000
28,1500,80000
29,1500,80000
30,1500,80000
31,1500,80000
32,1500,80000
33,1500,80000
34,1500,80000
35,1500,80000
36,1500,80000
37,1500,80000
38,1500,80000
39,1500,80000
40,1500,80000
41,1500,80000
42,1500,80000
43,1500,80000
44,1500,80000
45,1500,80000
46,1500,80000
47,1500,80000
48,1500,80000
49,1500,80000
50,1500,80000
