,min,max
1,450000,1500000
2,450000,1500000
3,450000,1500000
4,450000,1500000
5,450000,1500000
6,450000,1500000
7,450000,1500000
8,450000,1500000
9,450000,1500000
10,450000,1500000
11,450000,1500000
12,450000,1500000
13,450000,1500000
14,450000,1500000
15,450000,1500000
16,450000,1500000
17,450000,1500000
18,450000,1500000
19,450000,1500000
20,450000,1500000
21,450000,1500000
22,450000,1500000
23,450000,1500000
24,450000,1500000
25,450000,1500000
26,450000,1500000
27,450000,1500000
28,450000,1500000
29,450000,1500000
30,450000,1500000
31,450000,1500000
32,450000,1500000
33,450000,1500000
34,450000,1500000
35,450000,1500000
36,450000,1500000
37,450000,1500000
38,450000,1500000
39,450000,1500000
40,450000,1500000
41,450000,1500000
42,450000,1500000
43,450000,1500000
44,450000,1500000
45,450000,1500000
46,450000,1500000
47,450000,1500000
48,450000,1500000
49,450000,1500000
50,450000,1500000
