,min,max
1,190000,500000
2,100000,500000
3,100000,500000
4,100000,500000
5,100000,500000
6,100000,500000
7,100000,500000
8,100000,500000
9,100000,500000
10,100000,500000
11,100000,500000
12,100000,500000
13,100000,500000
14,100000,500000
15,100000,500000
16,100000,500000
17,100000,500000
18,100000,500000
19,100000,500000
20,100000,500000
21,100000,500000
22,100000,500000
23,100000,500000
24,100000,500000
25,100000,500000
26,100000,500000
27,100000,500000
28,100000,500000
29,100000,500000
30,100000,500000
31,100000,500000
32,100000,500000
33,100000,500000
34,100000,500000
35,100000,500000
36,100000,500000
37,100000,500000
38,100000,500000
39,100000,500000
40,100000,500000
41,100000,500000
42,100000,500000
43,100000,500000
44,100000,500000
45,100000,500000
46,100000,500000
47,100000,500000
48,100000,500000
49,100000,500000
50,100000,500000
