,min,max
1,30000,80000
2,30000,80000
3,30000,80000
4,30000,80000
5,30000,80000
6,30000,80000
7,30000,80000
8,30000,80000
9,30000,80000
10,30000,80000
11,30000,80000
12,30000,80000
13,30000,80000
14,30000,80000
15,30000,80000
16,30000,80000
17,30000,80000
18,30000,80000
19,30000,80000
20,30000,80000
21,30000,80000
22,30000,80000
23,30000,80000
24,30000,80000
25,30000,80000
26,30000,80000
27,30000,80000
28,30000,80000
29,30000,80000
30,30000,80000
31,30000,80000
32,30000,80000
33,30000,80000
34,30000,80000
35,30000,80000
36,30000,80000
37,30000,80000
38,30000,80000
39,30000,80000
40,30000,80000
41,30000,80000
42,30000,80000
43,30000,80000
44,30000,80000
45,30000,80000
46,30000,80000
47,30000,80000
48,30000,80000
49,30000,80000
50,30000,80000
