,min,max
1,400000,1200000
2,400000,1200000
3,400000,1200000
4,400000,1200000
5,400000,1200000
6,400000,1200000
7,400000,1200000
8,400000,1200000
9,400000,1200000
10,400000,1200000
11,400000,1200000
12,400000,1200000
13,400000,1200000
14,400000,1200000
15,400000,1200000
16,400000,1200000
17,400000,1200000
18,400000,1200000
19,400000,1200000
20,400000,1200000
21,400000,1200000
22,400000,1200000
23,400000,1200000
24,400000,1200000
25,400000,1200000
26,400000,1200000
27,400000,1200000
28,400000,1200000
29,400000,1200000
30,400000,1200000
31,400000,1200000
32,400000,1200000
33,400000,1200000
34,400000,1200000
35,400000,1200000
36,400000,1200000
37,400000,1200000
38,400000,1200000
39,400000,1200000
40,400000,1200000
41,400000,1200000
42,400000,1200000
43,400000,1200000
44,400000,1200000
45,400000,1200000
46,400000,1200000
47,400000,1200000
48,400000,1200000
49,400000,1200000
50,400000,1200000
